player_id,name,primary_position,birth_date,college,first_season,last_season,seasons_played,teams
00-0004866,'Omar Ellison,WR,1971-10-08,,1995,1996,2,LAC
a-b-brown,A.B. Brown,RB,1965-12-04,,1989,1992,4,NYJ
a-d-whitfield,A.D. Whitfield,RB,1943-09-02,,1965,1968,4,DAL;WAS
00-0037845,A.J. Arcuri,LT,1997-08-13,Michigan State,2022,2024,2,STL
00-0030228,A.J. Bouye,CB,1991-08-16,Central Florida,2013,2021,9,CAR;DEN;HOU;JAX
00-0035676,A.J. Brown,WR,1997-06-30,Mississippi,2019,2024,6,PHI;TEN
00-0032255,A.J. Cann,LG,1991-10-23,South Carolina,2015,2022,8,HOU;JAX
00-0029167,A.J. Davis,S,1989-07-06,,2012,2012,1,NO
00-0031609,A.J. Derby,TE,1991-09-20,Arkansas,2016,2018,3,DEN;MIA
a-j-duhe,A.J. Duhe,LB,1955-11-27,,1977,1984,8,MIA
00-0027719,A.J. Edds,LB,1987-09-18,,2011,2011,1,NE
00-0036192,A.J. Epenesa,EDGE,1998-09-15,Iowa,2020,2024,5,BUF
00-0020305,A.J. Feeley,QB,1977-05-16,,2001,2011,11,CAR;MIA;PHI;STL
00-0029972,A.J. Francis,DT,1990-05-07,Maryland,2013,2017,3,MIA;SEA;WAS
00-0027942,A.J. Green,WR,1988-07-31,Georgia,2011,2022,12,ARI;CIN
00-0036114,A.J. Green,CB,1998-06-09,Oklahoma State,2021,2022,2,CLE
a-j-greene,A.J. Greene,CB,1966-06-24,,1991,1991,1,NYG
00-0032620,A.J. Hendy,CB,1993-04-08,Maryland,2016,2018,2,HOU;MIA
00-0027350,A.J. Jefferson,CB,1988-04-04,,2010,2012,3,ARI;MIN
a-j-jenkins,A.J. Jenkins,EDGE,1966-04-12,,1989,1990,2,PIT
00-0029654,A.J. Jenkins,WR,1989-09-08,,2012,2014,3,KC;SF
a-j-jimerson,A.J. Jimerson,LB,1968-05-12,,1990,1991,2,LV
00-0008417,A.J. Johnson,CB,1967-06-22,,1989,1994,6,WAS
00-0034887,A.J. Johnson,LB,1991-12-24,Tennessee,2019,2022,4,DEN;SEA
a-j-jones,A.J. Jones,RB,1959-05-30,,1982,1985,4,DET;STL
00-0030463,A.J. Klein,LB,1991-07-30,Iowa State,2016,2023,8,BUF;CAR;NO
00-0034594,A.J. Moore,S,1995-12-15,Mississippi,2018,2022,5,HOU;TEN
00-0012317,A.J. Ofodile,TE,1973-10-09,,1994,1999,4,BAL;BUF
00-0036752,A.J. Parker,CB,1998-02-15,Kansas State,2021,2022,2,DET;SF
00-0023950,A.J. Schable,EDGE,1984-05-18,,2006,2006,1,ARI
00-0036285,A.J. Terrell,CB,1998-09-23,Clemson,2020,2024,5,ATL
00-0037222,A.J. Thomas,CB,1999-09-18,Western Michigan,2022,2022,1,CHI
00-0026950,A.Q. Shipley,C,1986-05-22,Penn State,2012,2019,8,ARI;BAL;IND
00-0038612,A.T. Perry,WR,1999-10-26,Wake Forest,2023,2023,1,NO
00-0032889,A'Shawn Robinson,DT,1995-03-21,Alabama,2016,2024,9,CAR;DET;NYG;STL
00-0000582,Aaron Bailey,WR,1971-10-24,,1994,1998,5,IND
00-0036551,Aaron Banks,LG,1997-09-03,Notre Dame,2021,2024,3,SF
aaron-banks,Aaron Banks,LG,,,2023,2023,1,SF
00-0000939,Aaron Beasley,CB,1973-07-07,,1996,2004,9,ATL;JAX;NYJ
00-0027338,Aaron Berry,CB,1988-06-25,,2010,2012,3,DET;NYJ
00-0036171,Aaron Brewer,LG,1997-10-28,Texas State,2020,2024,5,MIA;TEN
00-0001823,Aaron Brooks,QB,1976-03-24,,1999,2006,8,GB;LV;NO
aaron-brown,Aaron Brown,EDGE,1943-11-16,,1966,1987,14,ATL;GB;KC;PHI;TB
00-0027129,Aaron Brown,RB,1985-10-10,,2009,2010,2,DET
00-0032441,Aaron Burbridge,WR,1993-12-23,Michigan State,2016,2017,2,SF
00-0031259,Aaron Colvin,CB,1991-10-02,Oklahoma,2014,2019,6,HOU;JAX;WAS
00-0003570,Aaron Cox,WR,1965-03-13,,1988,1993,6,IND;STL
00-0003610,Aaron Craver,RB,1968-12-18,,1991,1999,9,DEN;LAC;MIA;NO
00-0036191,Aaron Crawford,DT,1997-11-04,North Carolina,2021,2021,1,BAL
00-0030540,Aaron Dobson,WR,1991-07-23,Marshall,2013,2015,3,NE
00-0031388,Aaron Donald,DT,1991-05-23,Pittsburgh,2014,2024,11,STL
00-0021080,Aaron Elling,K,1978-05-31,,2003,2005,3,BAL;MIN;TEN
00-0032948,Aaron Epps,LT,1992-11-16,,2016,2016,1,CIN
00-0019425,Aaron Fields,EDGE,1976-01-09,,2000,2000,1,DAL
00-0023213,Aaron Francisco,CB,1983-07-05,,2005,2005,1,ARI
00-0035987,Aaron Fuller,WR,1997-09-30,Washington,2021,2021,1,SEA
00-0005927,Aaron Gibson,LT,1977-09-27,,1999,2004,6,CHI;DAL;DET
00-0006034,Aaron Glenn,CB,1972-07-16,,1994,2008,15,DAL;HOU;JAX;NO;NYJ
00-0006197,Aaron Graham,C,1973-05-22,,1996,2002,6,ARI;LV;TEN
00-0032672,Aaron Green,RB,1992-10-15,Texas Christian,2016,2016,1,STL
00-0032332,Aaron Grymes,CB,1991-03-01,Idaho,2016,2016,1,PHI
00-0023051,Aaron Halterman,TE,1982-03-31,,2007,2007,1,MIA
00-0007141,Aaron Hayden,RB,1973-04-13,,1995,1998,4,GB;LAC;PHI
00-0027713,Aaron Hernandez,TE,1989-11-06,,2010,2012,3,NE
00-0008676,Aaron Jones,EDGE,1966-12-18,,1988,1995,8,NE;PIT
00-0033293,Aaron Jones,RB,1994-12-02,Texas-El Paso,2017,2024,8,GB;MIN
00-0021269,Aaron Kampman,EDGE,1979-11-30,,2002,2011,9,GB;JAX
00-0019316,Aaron Koch,LG,1978-02-21,,2000,2001,2,JAX
aaron-kyle,Aaron Kyle,CB,1954-04-06,,1976,1982,7,DAL;DEN
00-0009558,Aaron Laing,TE,1971-07-19,,1994,1997,3,LAC;STL
00-0030993,Aaron Lynch,LB,1993-02-08,South Florida,2016,2020,5,CHI;JAX;SF
aaron-manning,Aaron Manning,CB,1961-08-26,,1987,1987,1,CIN
aaron-marsh,Aaron Marsh,WR,1945-07-27,,1968,1969,2,NE
aaron-martin,Aaron Martin,CB,1942-02-10,,1965,1968,4,PHI;STL;WAS
00-0026987,Aaron Maybin,EDGE,1988-04-06,,2009,2009,1,BUF
00-0029896,Aaron Mellette,WR,1989-12-28,,2013,2013,1,BAL
00-0024462,Aaron Merz,C,1983-08-27,,2006,2006,1,BUF
aaron-mitchell,Aaron Mitchell,CB,1956-12-15,,1979,1981,3,DAL;TB
00-0035344,Aaron Monteiro,LG,1997-03-25,Boston College,2020,2020,1,CAR
aaron-moog,Aaron Moog,EDGE,1962-02-03,,1987,1987,1,CLE
00-0021780,Aaron Moorehead,WR,1980-11-05,,2003,2007,5,IND
00-0027511,Aaron Morgan,EDGE,1988-12-30,,2010,2012,2,JAX;TB
00-0031287,Aaron Murray,QB,1990-11-10,,2014,2015,2,KC
00-0032459,Aaron Neary,C,1992-11-15,Eastern Washington,2017,2017,1,STL
00-0036465,Aaron Patrick,LB,1996-12-21,Eastern Kentucky,2021,2022,2,DEN
aaron-pearson,Aaron Pearson,LB,1964-08-22,,1986,1988,3,KC
00-0012971,Aaron Pierce,TE,1969-09-06,,1992,1999,7,BAL;NYG
00-0031612,Aaron Ripkowski,RB,1992-12-20,Oklahoma,2015,2017,3,GB
00-0036899,Aaron Robinson,CB,1997-11-10,Central Florida,2021,2023,3,NYG
00-0023459,Aaron Rodgers,QB,1983-12-02,California,2005,2024,20,GB;NYJ
00-0025407,Aaron Ross,CB,1982-09-15,,2007,2013,7,JAX;NYG
00-0020469,Aaron Schobel,EDGE,1977-09-01,,2001,2009,9,BUF
00-0019564,Aaron Shea,TE,1976-12-05,,2000,2006,7,CLE;LAC
aaron-smith,Aaron Smith,LB,1962-08-10,,1984,1984,1,DEN
00-0015080,Aaron Smith,EDGE,1976-04-19,,1999,2011,13,PIT
00-0015601,Aaron Stecker,RB,1975-11-13,,2000,2009,10,ATL;NO;TB
00-0034668,Aaron Stinnie,LG,1994-02-18,James Madison,2018,2024,6,NYG;TB;TEN
00-0016077,Aaron Taylor,LG,1972-11-14,,1994,1999,5,GB;LAC
aaron-taylor,Aaron Taylor,LG,1972-11-14,Notre Dame,1996,1996,1,GB
00-0016078,Aaron Taylor,LG,1975-01-21,,1998,1998,1,CHI
aaron-thomas,Aaron Thomas,TE,1937-11-07,,1965,1970,6,NYG
00-0022060,Aaron Walker,TE,1980-03-14,,2003,2007,5,SF;STL
00-0017076,Aaron Wallace,LB,1967-04-17,,1990,1997,7,LV
00-0032799,Aaron Wallace,LB,1993-07-08,UCLA,2016,2018,3,DEN;TEN
00-0027972,Aaron Williams,CB,1990-04-23,Texas,2011,2016,4,BUF
abdul-salaam,Abdul Salaam,DT,1953-02-12,,1976,1983,8,NYJ
00-0000003,Abdul-Karim al-Jabbar,RB,1974-06-28,,1996,1999,4,CLE;MIA
00-0034587,Abdullah Anderson,DT,1996-01-24,Bucknell,2019,2023,3,ATL;CHI;WAS
abe-woodson,Abe Woodson,CB,1934-02-15,,1965,1966,2,ARI
abner-haynes,Abner Haynes,RB,1937-09-19,,1965,1967,3,DEN;NYJ
00-0031965,Abou Toure,RB,,,2016,2016,1,IND
00-0037812,Abraham Lucas,LT,1998-10-15,Washington State,2022,2024,3,SEA
00-0029946,Abry Jones,DT,1991-09-08,Georgia,2013,2021,9,JAX;TEN
00-0017996,Abu Wilson,RB,1973-01-02,,1997,1997,1,IND
00-0030550,Ace Sanders,WR,1991-11-11,,2013,2014,2,JAX
00-0032552,Adairius Barnes,CB,1994-04-30,Louisiana Tech,2016,2016,1,DET
00-0019593,Adalius Thomas,EDGE,1977-08-18,,2001,2002,2,BAL
00-0020521,Adam Archuleta,S,1977-11-27,,2001,2001,1,STL
00-0023217,Adam Bergen,TE,1983-09-03,,2005,2006,2,ARI
adam-bethea,Adam Bethea,EDGE,1962-04-17,,1987,1987,1,NYJ
00-0033965,Adam Bisnowaty,LT,1993-12-14,Pittsburgh,2017,2017,1,NYG
adam-bob,Adam Bob,LB,1967-10-30,,1989,1989,1,NYJ
00-0033381,Adam Butler,DT,1994-04-12,Vanderbilt,2017,2024,7,LV;MIA;NE
00-0025400,Adam Carriker,EDGE,1984-05-06,,2007,2012,5,STL;WAS
00-0035086,Adam Choice,RB,1995-11-30,Clemson,2019,2019,1,SEA
00-0029139,Adam Gettis,LG,1988-12-09,Iowa,2012,2017,5,NYG;TB;WAS
00-0021637,Adam Goldberg,LG,1980-08-12,,2004,2011,8,MIN;STL
00-0033064,Adam Gotsis,EDGE,1992-09-23,Georgia Tech,2016,2023,8,DEN;JAX
00-0020378,Adam Haayer,LT,1977-02-22,,2001,2005,4,ARI;MIN;TEN
00-0007318,Adam Hernandez,LT,1976-11-14,,1998,1998,1,CHI
00-0020760,Adam Herzing,WR,1980-09-23,,2002,2002,1,IND
00-0032009,Adam Humphries,WR,1993-06-24,Clemson,2015,2021,7,TB;TEN;WAS
00-0024398,Adam Jennings,WR,1982-11-17,,2006,2008,3,ATL
00-0023441,Adam Jones,CB,1983-09-30,West Virginia,2005,2017,11,CIN;DAL;TEN
00-0025576,Adam Koets,LT,1984-01-07,,2007,2010,4,NYG
00-0009956,Adam Lingner,C,1960-11-02,Illinois,1983,1995,13,BUF;KC;NE
00-0011075,Adam Meadows,LT,1974-01-25,,1997,2006,8,DEN;IND
00-0033359,Adam Pankey,LG,1994-02-02,West Virginia,2017,2022,5,GB;MIA;NYJ
00-0025488,Adam Podlesh,P,1983-08-11,,2007,2013,7,CHI;JAX
00-0036727,Adam Prentice,RB,1997-01-16,South Carolina,2021,2024,4,NO
00-0032354,Adam Redmond,C,1993-05-19,Harvard,2016,2019,3,DAL;IND
00-0029781,Adam Replogle,DT,1990-10-10,,2013,2013,1,ATL
00-0014486,Adam Schreiber,LG,1962-02-20,Texas,1984,1998,15,ATL;MIN;NO;NYG;NYJ;PHI;SEA
00-0033896,Adam Shaheen,TE,1994-10-24,Ashland,2017,2022,6,CHI;MIA
00-0023529,Adam Snyder,LG,1982-01-30,,2005,2014,10,ARI;NYG;SF
00-0023499,Adam Terry,LT,1982-09-01,,2005,2008,4,BAL
00-0030035,Adam Thielen,WR,1990-08-22,Minn. State-Mankato,2014,2024,11,CAR;MIN
00-0016485,Adam Timmerman,LG,1971-08-14,,1995,2006,10,GB;STL
adam-timmerman,Adam Timmerman,RG,1971-08-14,South Dakota State,1996,1999,2,GB;STL
00-0036422,Adam Trautman,TE,1997-02-05,Dayton,2020,2024,5,DEN;NO
00-0016610,Adam Treu,C,1974-06-24,,1997,2003,7,LV
00-0016919,Adam Vinatieri,K,1972-12-28,South Dakota State,1996,2019,24,IND;NE
adam-walker,Adam Walker,RB,1963-04-09,,1987,1987,1,MIN
00-0017008,Adam Walker,RB,1968-06-07,,1992,1996,5,PHI;SF
00-0020142,Adam Wright,RB,1977-12-18,,2001,2001,1,NYG
00-0031120,Adarius Taylor,LB,1990-09-21,Florida Atlantic,2014,2020,7,CAR;CLE;TB
00-0034166,Ade Aruna,EDGE,1994-04-27,Tulane,2018,2020,2,LV;MIN
00-0021583,Ade Jimoh,CB,1980-04-18,,2003,2007,5,CHI;WAS
00-0036949,Adetokunbo Ogundeji,LB,1998-10-09,Notre Dame,2021,2023,3,ATL
00-0039031,Adetomiwa Adebawore,DT,2001-03-04,Northwestern,2023,2024,2,IND
00-0019246,Adewale Ogunleye,EDGE,1977-08-09,,2000,2009,10,CHI;MIA
00-0029366,Adewale Ojomo,EDGE,1988-11-11,,2012,2012,1,NYG
adger-armstrong,Adger Armstrong,RB,1957-06-21,,1980,1985,6,TB;TEN
00-0028743,Adi Kunalic,K,1989-04-01,,2011,2011,1,CAR
00-0022883,Adimchinobi Echemandu,RB,1980-11-21,,2004,2006,3,CLE;LV;MIN
00-0039791,Adisa Isaac,LB,2001-10-04,Penn State,2024,2024,1,BAL
00-0033037,Adolphus Washington,DT,1992-11-24,Ohio State,2016,2018,3,BUF;CIN
00-0039890,Adonai Mitchell,WR,2002-10-08,Texas,2024,2024,1,IND
00-0034840,Adonis Alexander,CB,1996-11-07,Virginia Tech,2018,2018,1,WAS
00-0033878,Adoree' Jackson,CB,1995-09-18,Southern California,2017,2024,8,NYG;TEN
00-0031584,Adrian Amos,S,1993-04-29,Penn State,2015,2023,9,CHI;GB;HOU
00-0026377,Adrian Arrington,WR,1985-11-07,,2009,2011,3,NO
00-0023005,Adrian Awasom,EDGE,1983-10-25,,2005,2007,3,NYG
adrian-breen,Adrian Breen,QB,1965-01-11,,1987,1987,1,CIN
00-0027958,Adrian Clayborn,EDGE,1988-07-06,Iowa,2011,2020,10,ATL;CLE;NE;TB
00-0033302,Adrian Colbert,S,1993-10-06,Miami,2017,2024,7,CHI;CLE;MIA;NYG;SF
00-0003440,Adrian Cooper,TE,1968-04-27,,1991,1996,6,MIN;PIT;SF
00-0004320,Adrian Dingle,EDGE,1977-06-25,,1999,2004,6,LAC
00-0029007,Adrian Hamilton,LB,1987-11-29,,2012,2012,1,BAL
00-0006832,Adrian Hardy,CB,1970-08-16,,1993,1995,3,CIN;SF
00-0008677,Adrian Jones,CB,1969-01-18,,1992,1992,1,CIN
00-0022813,Adrian Jones,LT,1981-06-10,,2004,2008,5,KC;NYJ
00-0036000,Adrian Killins,RB,1998-01-02,Central Florida,2021,2021,1,DEN
00-0019584,Adrian Klemm,LG,1977-05-21,,2000,2005,6,GB;NE
00-0021921,Adrian Madise,WR,1980-03-23,,2003,2003,1,DEN
00-0022386,Adrian Mayes,S,1980-11-17,,2004,2004,1,ARI
adrian-mcbride,Adrian McBride,WR,1963-03-23,,1987,1987,1,ARI
00-0032907,Adrian McDonald,CB,1994-03-18,Houston,2016,2016,1,LAC
00-0023585,Adrian McPherson,QB,1983-05-08,,2005,2005,1,NO
00-0011869,Adrian Murrell,RB,1970-10-16,,1993,2000,8,ARI;NYJ;WAS
00-0021306,Adrian Peterson,RB,1979-07-01,,2002,2009,8,CHI
00-0025394,Adrian Peterson,RB,1985-03-21,Oklahoma,2007,2020,14,ARI;DET;MIN;WAS
00-0031404,Adrian Phillips,S,1992-03-28,Texas,2015,2023,9,LAC;NE
00-0014051,Adrian Ross,LB,1975-02-19,,1998,2001,4,CIN
00-0027782,Adrian Tracy,EDGE,1987-04-06,,2012,2012,1,NYG
00-0017506,Adrian White,CB,1964-04-06,Florida; Southern Illinois,1987,1992,5,GB;NYG
00-0020505,Adrian Wilson,CB,1979-10-12,,2001,2001,1,ARI
adrian-wright,Adrian Wright,RB,1961-10-13,,1987,1987,1,TB
adrian-young,Adrian Young,LB,1946-01-31,,1968,1973,6,CHI;DET;PHI
00-0022709,Adrien Clarke,LG,1981-03-26,,2005,2007,2,NYJ;PHI
00-0029281,Adrien Robinson,TE,1988-09-23,,2012,2014,3,NYG
00-0017710,Aeneas Williams,CB,1968-01-29,,1991,2002,12,ARI;STL
african-grant,African Grant,CB,1965-08-02,,1990,1990,1,MIA
00-0033783,Ahkello Witherspoon,CB,1995-03-21,Colorado,2017,2024,8,PIT;SF;STL
00-0028089,Ahmad Black,S,1989-12-12,,2011,2011,1,TB
00-0025637,Ahmad Bradshaw,RB,1986-03-19,Marshall,2007,2016,10,IND;NYG
00-0021027,Ahmad Brooks,S,1980-03-13,,2002,2002,1,BUF
00-0024495,Ahmad Brooks,LB,1984-03-14,Virginia,2016,2017,2,GB;SF
00-0022913,Ahmad Carroll,CB,1983-08-04,,2004,2008,4,GB;NYJ
00-0031096,Ahmad Dixon,S,1991-09-05,,2014,2014,1,CHI
00-0019510,Ahmad Merritt,WR,1977-02-05,,2001,2003,3,CHI
ahmad-rashad,Ahmad Rashad,WR,1949-11-19,,1972,1982,10,ARI;BUF;MIN
00-0033447,Ahmad Thomas,LB,1994-12-15,Oklahoma,2018,2019,2,ATL;IND
00-0023043,Ahmad Treaudo,CB,1982-04-15,,2005,2005,1,ATL
00-0006305,Ahman Green,RB,1977-02-16,,1998,2009,12,GB;HOU;SEA
00-0024489,Ahmard Hall,RB,1979-11-13,,2006,2011,6,TEN
00-0019603,Ahmed Plummer,CB,1976-03-26,,2000,2005,6,SF
00-0026330,Ahtyba Rubin,DT,1986-07-25,Iowa State,2008,2018,11,ATL;CLE;LV;SEA
00-0037236,Aidan Hutchinson,EDGE,2000-08-09,Michigan,2022,2024,3,DET
00-0038579,Aidan O'Connell,QB,1998-09-01,Purdue,2023,2024,2,LV
00-0039747,Ainias Smith,WR,2001-05-31,Texas A&amp;M,2024,2024,1,PHI
00-0019129,Ainsley Battles,S,1978-11-06,,2000,2001,2,JAX;PIT
00-0023574,Airese Currie,WR,1982-11-16,,2005,2006,2,CHI
00-0039793,AJ Barner,TE,2002-05-03,Michigan,2024,2024,1,SEA
00-0035190,AJ Cole,P,1995-11-27,North Carolina State,2019,2024,6,LV
00-0036265,AJ Dillon,RB,1998-05-02,Boston College,2020,2024,5,GB
00-0038866,AJ Finley,S,2001-09-14,Mississippi,2023,2024,2,LAC;SEA
00-0031288,AJ McCarron,QB,1990-09-13,Alabama,2014,2023,9,ATL;CIN;HOU;LV
00-0038101,Akayleb Evans,CB,1999-06-22,Missouri,2022,2024,3,CAR;MIN
00-0021574,Akbar Gbaja-Biamila,EDGE,1979-05-06,,2003,2003,1,LV
00-0027977,Akeem Ayers,LB,1989-07-10,UCLA,2016,2017,2,IND;NYG
00-0030644,Akeem Davis,S,1989-12-25,,2014,2016,3,JAX;NO;WAS
00-0036298,Akeem Davis-Gaither,LB,1997-09-21,Appalachian State,2020,2024,5,CIN
00-0028029,Akeem Dent,LB,1987-09-27,Georgia,2016,2016,1,HOU
00-0031743,Akeem Hunt,RB,1993-02-22,Purdue,2015,2017,3,HOU;KC
00-0025719,Akeem Jordan,LB,1985-08-17,,2007,2007,1,PHI
00-0033800,Akeem Judd,RB,1992-12-11,Mississippi,2017,2017,1,NYJ
00-0031630,Akeem King,CB,1992-08-29,San Jose State,2015,2019,4,ATL;SEA
00-0030402,Akeem Spence,DT,1991-11-29,Illinois,2013,2020,8,DET;JAX;MIA;NE;TB
00-0023270,Aki Jones,DT,1982-10-25,,2005,2005,1,WAS
00-0029657,Akiem Hicks,DT,1989-11-16,"Regina, Can.",2012,2022,11,CHI;NO;TB
00-0015082,Akili Smith,QB,1975-08-21,,1999,2002,4,CIN
al-andrews,Al Andrews,LB,1945-07-10,,1970,1971,2,BUF
al-atkinson,Al Atkinson,LB,1943-07-28,,1965,1974,10,NYJ
al-baker,Al Baker,EDGE,1956-12-09,,1978,1990,13,ARI;CLE;DET;MIN
al-barnes,Al Barnes,WR,1949-07-04,,1971,1973,3,DET
al-beauchamp,Al Beauchamp,LB,1944-06-25,,1968,1976,9,ARI;CIN
al-bemiller,Al Bemiller,C,1938-04-18,,1965,1969,5,BUF
al-brenner,Al Brenner,CB,1947-11-13,,1969,1970,2,NYG
00-0002867,Al Chamblee,LB,1968-11-17,,1991,1992,2,TB
al-chandler,Al Chandler,TE,1950-11-18,,1973,1979,6,CIN;NE
al-chesley,Al Chesley,LB,1957-08-23,,1979,1982,4,CHI;PHI
al-clark,Al Clark,CB,1948-02-29,,1971,1976,6,DET;PHI;STL
al-coleman,Al Coleman,CB,1944-12-27,,1967,1973,6,CIN;MIN;PHI
al-cowlings,Al Cowlings,EDGE,1947-06-16,,1970,1979,9,BUF;SEA;SF;STL;TEN
al-darby,Al Darby,TE,1954-09-14,,1976,1978,2,TB;TEN
00-0004147,Al Del Greco,K,1962-03-02,Auburn,1984,2000,17,ARI;GB;TEN
al-dennis,Al Dennis,LG,1951-06-24,,1973,1977,3,CLE;LAC
al-denson,Al Denson,WR,1942-01-02,,1965,1971,7,DEN;MIN
al-dixon,Al Dixon,TE,1954-04-05,,1977,1984,8,KC;NYG;PHI;SF
al-dodd,Al Dodd,WR,1945-08-21,,1967,1974,6,ATL;CHI;NO
al-dotson,Al Dotson,DT,1943-02-25,,1965,1970,5,KC;LV;MIA
00-0004743,Al Edwards,WR,1967-05-18,,1990,1993,4,BUF
al-gross,Al Gross,CB,1961-01-04,,1983,1987,5,CLE
al-harris,Al Harris,LB,1956-12-31,,1979,1990,11,CHI;PHI
00-0006915,Al Harris,CB,1974-12-07,,1998,2011,13,GB;PHI;STL
al-haywood,Al Haywood,RB,1948-08-06,,1975,1975,1,DEN
al-hunter,Al Hunter,RB,1955-02-21,,1977,1980,4,SEA
00-0008085,Al Jackson,CB,1971-09-07,,1994,1995,2,JAX;PHI
00-0019396,Al Jackson,LG,1977-05-18,,2000,2001,2,DAL
al-jenkins,Al Jenkins,LT,1946-07-15,,1969,1973,3,CLE;TEN
al-johnson,Al Johnson,RB,1950-06-17,,1972,1978,6,TEN
00-0022079,Al Johnson,C,1979-01-27,,2004,2008,5,ARI;DAL;MIA
al-krevis,Al Krevis,LT,1952-07-09,,1975,1976,2,CIN;NYJ
al-latimer,Al Latimer,CB,1957-10-14,,1979,1984,5,DET;PHI;SF
al-lavan,Al Lavan,CB,1946-09-13,,1969,1970,2,ATL
00-0031352,Al Louis-Jean,CB,1993-10-13,,2014,2014,1,CHI
00-0019136,Al Lucas,DT,1978-09-01,,2000,2001,2,CAR
al-marshall,Al Marshall,WR,1951-01-07,,1974,1974,1,NE
al-matthews,Al Matthews,S,1947-11-07,,1970,1977,8,GB;SEA;SF
al-nelson,Al Nelson,CB,1943-10-27,,1965,1973,9,PHI
00-0012146,Al Noga,EDGE,1965-09-16,,1988,1993,6,MIN;WAS
al-palewicz,Al Palewicz,LB,1950-03-23,,1973,1977,4,KC;NYJ
al-pastrana,Al Pastrana,QB,1944-11-20,,1969,1970,2,DEN
al-randolph,Al Randolph,CB,1944-07-08,,1966,1974,9,BUF;DET;GB;MIN;SF
al-reynolds,Al Reynolds,LG,1938-02-15,,1965,1967,3,KC
al-richardson,Al Richardson,LB,1957-09-23,,1980,1985,6,ATL
al-simpson,Al Simpson,LT,1951-07-27,,1975,1976,2,NYG
00-0015083,Al Smith,LB,1964-11-26,Utah State; Pomona State,1987,1996,10,TEN
al-snyder,Al Snyder,WR,1941-06-20,,1966,1966,1,IND
al-steinfeld,Al Steinfeld,C,1958-10-28,,1982,1983,2,KC;NYG
al-sykes,Al Sykes,WR,1947-12-20,,1971,1971,1,NE
00-0016552,Al Toon,WR,1963-04-30,Wisconsin,1985,1992,8,NYJ
00-0017077,Al Wallace,EDGE,1974-03-25,,1997,2006,9,CAR;CHI;PHI
al-washington,Al Washington,LB,1958-09-25,,1981,1981,1,NYJ
al-wenglikowski,Al Wenglikowski,LB,1960-08-03,,1984,1987,2,BUF
al-williams,Al Williams,WR,1961-10-05,,1987,1987,1,LAC
00-0017998,Al Wilson,LB,1977-06-21,,1999,2001,3,DEN
al-wolden,Al Wolden,RB,1965-04-11,,1987,1987,1,CHI
al-woodall,Al Woodall,QB,1945-12-07,,1969,1974,6,NYJ
00-0027723,Al Woods,DT,1987-03-25,Louisiana State,2010,2023,14,IND;JAX;NYJ;PIT;SEA;TB;TEN
al-young,Al Young,WR,1949-08-24,,1971,1972,2,PIT
00-0031521,Al-Hajj Shabazz,CB,1992-08-02,West Chester,2016,2016,1,PIT
00-0033964,Al-Quadin Muhammad,EDGE,1995-03-28,Miami,2017,2024,7,CHI;DET;IND;NO
00-0022504,Alain Kashama,EDGE,1979-12-08,,2004,2005,2,CHI;SEA
00-0029138,Alameda Ta'amu,DT,1990-08-23,,2012,2016,4,ARI;BUF;PIT
00-0025624,Alan Ball,CB,1985-03-29,,2007,2016,9,ARI;CHI;DAL;HOU;JAX
00-0025420,Alan Branch,DT,1984-12-29,Michigan,2007,2017,11,ARI;BUF;NE;SEA
alan-caldwell,Alan Caldwell,CB,1956-05-22,,1979,1979,1,NYG
00-0002596,Alan Campos,LB,1973-03-03,,1996,1996,1,DAL
00-0032745,Alan Cross,RB,1993-07-02,Memphis,2016,2018,3,TB
alan-dial,Alan Dial,CB,1965-02-02,,1989,1989,1,PHI
00-0005058,Alan Faneca,LG,1976-12-07,,1998,2010,13,ARI;NYJ;PIT
00-0006230,Alan Grant,CB,1966-10-01,,1990,1994,5,CIN;IND;SF;WAS
00-0006689,Alan Haller,CB,1970-08-09,,1992,1993,2,CLE;PIT
00-0021240,Alan Harper,DT,1979-09-06,,2002,2004,3,NYJ
alan-herline,Alan Herline,P,1964-09-16,,1987,1987,1,NE
alan-huff,Alan Huff,EDGE,1963-10-20,,1987,1987,1,PIT
00-0009328,Alan Kline,LT,1971-05-25,,1994,1995,2,NO
alan-miller,Alan Miller,RB,1937-06-19,,1965,1965,1,LV
alan-page,Alan Page,DT,1945-08-07,,1967,1981,15,CHI;MIN
alan-pringle,Alan Pringle,K,1952-01-20,,1975,1975,1,DET
alan-reid,Alan Reid,RB,1960-09-06,,1987,1987,1,PHI
00-0022583,Alan Reuber,LG,1981-01-26,,2004,2004,1,ARI
00-0018588,Alan Ricard,RB,1977-01-17,,2001,2005,5,BAL
alan-risher,Alan Risher,QB,1961-05-06,,1985,1987,2,GB;TB
00-0016868,Alan Veingrad,LT,1963-07-24,Texas A&M-Commerce,1986,1992,6,DAL;GB
00-0024337,Alan Zemaitis,CB,1982-08-24,,2006,2006,1,TB
00-0031702,Alani Fua,LB,1992-01-01,Brigham Young,2016,2016,1,ARI
00-0036603,Alaric Jackson,LT,1998-07-14,Iowa,2021,2024,4,STL
albert-bell,Albert Bell,WR,1964-04-23,,1988,1988,1,GB
00-0001135,Albert Bentley,RB,1960-08-15,Miami,1985,1991,7,IND
