player_id,name,primary_position,birth_date,college,first_season,last_season,seasons_played,teams
00-0008041,Ken Irvin,CB,1972-07-11,,1995,2004,10,BUF;MIN;NO
ken-jenkins,Ken Jenkins,RB,1959-05-08,,1983,1986,4,DET;WAS
ken-johnson,Ken Johnson,EDGE,1947-03-12,,1971,1990,16,BUF;CIN;KC;MIN;NYG;NYJ
ken-jolly,Ken Jolly,LB,1962-02-28,,1984,1985,2,KC
ken-jones,Ken Jones,LT,1952-12-01,,1976,1987,12,BUF;NYJ
ken-jordan,Ken Jordan,LB,1964-04-29,,1987,1987,1,GB
ken-kaplan,Ken Kaplan,LT,1960-01-12,,1984,1987,3,NO;TB
ken-karcher,Ken Karcher,QB,1963-07-01,,1987,1988,2,DEN
ken-kennard,Ken Kennard,EDGE,1954-10-04,,1977,1983,7,TEN
ken-knapczyk,Ken Knapczyk,WR,1963-04-21,,1987,1987,1,CHI
ken-kortas,Ken Kortas,DT,1942-05-17,,1965,1969,5,CHI;PIT
ken-kremer,Ken Kremer,DT,1957-07-16,,1979,1984,6,KC
ken-lacy,Ken Lacy,RB,1960-11-01,,1984,1987,3,KC
00-0009625,Ken Lanier,LT,1959-07-08,Florida State,1981,1994,14,DEN;LV
ken-lee,Ken Lee,LB,1948-09-03,,1971,1972,2,BUF;DET
ken-long,Ken Long,LG,1953-07-24,,1976,1976,1,DET
00-0020499,Ken Lucas,CB,1979-01-23,,2001,2009,9,CAR;SEA
ken-macafee,Ken MacAfee,TE,1956-01-09,,1978,1979,2,SF
ken-marchiol,Ken Marchiol,LB,1965-08-27,,1987,1987,1,NO
ken-margerum,Ken Margerum,WR,1958-10-05,,1981,1987,5,CHI;SF
ken-mcalister,Ken McAlister,LB,1960-04-15,,1982,1987,5,KC;SEA;SF
ken-mendenhall,Ken Mendenhall,C,1948-08-11,,1971,1980,10,IND
ken-mitchell,Ken Mitchell,LB,1948-11-14,,1973,1974,2,ATL
ken-moore,Ken Moore,TE,1954-07-25,,1978,1978,1,ATL
00-0011779,Ken Moyer,LG,1966-11-19,,1989,1994,6,CIN
00-0012196,Ken Norton,LB,1966-09-29,,1988,2000,13,DAL;SF
ken-novak,Ken Novak,DT,1954-07-03,,1976,1977,2,IND
00-0012246,Ken O'Brien,QB,1960-11-27,UC Davis; Sacramento State,1983,1993,11,NYJ;PHI
ken-o-neal,Ken O'Neal,TE,1962-06-21,,1987,1987,1,NO
00-0012480,Ken Oxendine,RB,1975-10-04,,1998,1999,2,ATL
ken-payne,Ken Payne,WR,1950-10-06,,1974,1978,5,GB;PHI
ken-poole,Ken Poole,EDGE,1958-10-20,,1981,1981,1,MIA
ken-pope,Ken Pope,CB,1951-12-28,,1974,1974,1,NE
ken-reaves,Ken Reaves,CB,1944-10-29,,1966,1977,12,ARI;ATL
