player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0026998,,,,,345,2,87,967,6,,,,,,,,
00-0024447,,,,,,,26,468,1,,,,,,,,
00-0027888,,,,,531,1,23,190,3,,,,,,,,
00-0022054,,,,,,,36,409,3,,,,,,,,
00-0027981,,,,,,,26,249,3,,,,,,,,
00-0025394,,,,,970,12,18,139,1,,,,,,,,
00-0027950,1853,13,13,70.1,219,,,,,,,,,,,,
00-0022781,,,,,,,38,466,3,,,,,,,,
00-0025458,,,,,52,,8,82,,,,,,,,,
00-0023408,,,,,,,9,121,,,,,,,,,
00-0027796,376,3,2,74.6,154,2,1,9,,,,,,,,,
00-0027612,,,,,,,2,7,,,,,,,,,
00-0009323,,,,,,,1,4,,,,,,,,,
00-0023060,,,,,-12,,,,,,,,,,,,
00-0027920,,,,,,,1,10,,,,,,,,,
00-0028174,,,,,,,2,38,,,,,,,,,
