player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0026164,,,,,1243,6,36,232,,,,,,,,,
00-0023367,,,,,,,46,746,4,,,,,,,,
00-0029708,,,,,4,,64,626,4,,,,,,,,
00-0026225,,,,,,,23,275,1,,,,,,,,
00-0027006,,,,,,,45,589,4,,,,,,,,
00-0027893,,,,,,,30,324,,,,,,,,,
00-0027061,,,,,,,44,523,4,,,,,,,,
00-0027946,2176,10,11,74,291,1,,,,,,,,,,,
00-0025951,,,,,33,,5,35,,,,,,,,,
00-0027106,,,,,5,,5,40,,,,,,,,,
00-0029590,,,,,,,6,46,,,,,,,,,
00-0007091,1367,7,5,81,38,,,,,,,,,,,,
00-0028068,,,,,30,3,1,8,,,,,,,,,
00-0026266,,,,,,,5,62,,,,,,,,,
00-0028362,,,,,,,5,59,,,,,,,,,
00-0027120,,,,,14,,3,12,,,,,,,,,
00-0028876,,,,,19,,,,,,,,,,,,
00-0027775,34,,,80.4,,,,,,,,,,,,,
