player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0023500,,,,,653,2,16,89,,,,,,,,,
00-0034419,,,,,29,,37,394,3,,,,,,,,
00-0032054,,,,,6,,30,505,3,,,,,,,,
00-0031941,43,1,,158.3,14,,59,699,6,,,,,,,,
00-0034869,2208,9,11,72.7,217,2,,,,,,,,,,,
00-0034766,,,,,,,31,287,3,,,,,,,,
00-0035537,,,,,254,1,16,99,1,,,,,,,,
00-0036255,,,,,,,23,357,,,,,,,,,
00-0036269,,,,,232,2,11,63,,,,,,,,,
00-0035510,,,,,,,17,167,,,,,,,,,
00-0034457,,,,,157,2,6,29,,,,,,,,,
00-0026158,864,6,3,80.6,22,,,,,,,,,,,,
00-0030108,,,,,,,9,86,,,,,,,,,
00-0032098,,,,,,,2,31,,,,,,,,,
00-0036145,,,,,,,2,35,,,,,,,,,
00-0035259,,,,,,,1,5,,,,,,,,,
00-0034631,,,,,,,1,13,,,,,,,,,
