player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0031428,,,,,,,73,883,6,,,,,,,,
00-0031407,3905,23,16,78.8,359,3,1,20,1,,,,,,,,
00-0031431,20,1,,158.3,35,,63,851,3,,,,,,,,
00-0032209,,,,,465,1,50,312,1,,,,,,,,
00-0030821,,,,,,,35,477,3,,,,,,,,
00-0027531,,,,,439,3,20,186,,,,,,,,,
00-0024243,,,,,,,20,169,1,,,,,,,,
00-0032139,,,,,,,19,161,1,,,,,,,,
00-0028067,,,,,,,30,281,4,,,,,,,,
00-0027595,,,,,4,,24,231,2,,,,,,,,
00-0027654,,,,,,,5,116,1,,,,,,,,
00-0030547,,,,,144,,3,22,,,,,,,,,
00-0031731,,,,,164,1,4,35,1,,,,,,,,
00-0032120,,,,,,,12,110,,,,,,,,,
00-0032170,,,,,,,5,32,,,,,,,,,
00-0032864,,,,,,,3,11,,,,,,,,,
00-0029612,,,,,7,,,,,,,,,,,,
00-0031684,,,,,5,,1,19,,,,,,,,,
00-0032298,,,,,11,,,,,,,,,,,,
00-0026197,,,,,-2,,,,,,,,,,,,
00-0029048,,,,,7,,,,,,,,,,,,
00-0030856,,,,,,,1,9,,,,,,,,,
