player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0005720,-1,,,79.2,32,,52,699,3,,,,,,,,
00-0019516,,,,,579,2,4,62,,,,,,,,,
00-0019614,,,,,247,,16,99,1,,,,,,,,
00-0015165,,,,,1021,3,17,116,,,,,,,,,
00-0008060,,,,,31,,53,834,2,,,,,,,,
00-0002942,,,,,3,,10,107,2,,,,,,,,
00-0006949,,,,,,,15,141,2,,,,,,,,
00-0010146,,,,,,,13,96,1,,,,,,,,
00-0020404,1072,5,7,63,150,1,,,,,,,,,,,
00-0018976,,,,,,,8,36,,,,,,,,,
00-0015980,,,,,-4,,7,117,1,,,,,,,,
00-0020425,,,,,,,3,28,,,,,,,,,
00-0016316,,,,,40,,5,19,1,,,,,,,,
00-0018272,529,5,5,61.1,57,,,,,,,,,,,,
00-0019442,314,3,5,53.8,27,1,,,,,,,,,,,
00-0009715,494,1,3,57.7,-7,,,,,,,,,,,,
00-0019019,,,,39.6,,,,,,,,,,,,,
00-0020181,,,,,,,1,9,,,,,,,,,
00-0018949,,,,,8,1,,,,,,,,,,,
