player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0033943,,,,,5,,52,618,2,,,,,,,,
00-0031806,,,,,419,5,23,162,,,,,,,,,
00-0030431,,,,,155,2,90,936,6,,,,,,,,
00-0033908,,,,,33,,92,974,3,,,,,,,,
00-0035664,,,,,624,5,16,155,1,,,,,,,,
00-0033895,,,,,2,1,41,417,1,,,,,,,,
00-0033106,3952,20,13,90,99,4,,,,,,,,,,,
00-0033110,,,,,1,,44,521,5,,,,,,,,
00-0036415,,,,,-1,,19,220,1,,,,,,,,
00-0036414,,,,,625,2,11,123,1,,,,,,,,
00-0033246,,,,,,,4,53,,,,,,,,,
00-0034899,231,,1,64.7,56,,,,,,,,,,,,
