player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0001477,,,,39.6,12,,50,556,1,,,,,,,,
00-0025396,,,,,3,,34,420,2,,,,,,,,
00-0020332,,,,,,,34,303,2,,,,,,,,
00-0021227,,,,,,,29,228,2,,,,,,,,
00-0020820,,,,,515,1,27,161,,,,,,,,,
00-0024297,,,,,,,29,373,2,,,,,,,,
00-0020565,1773,6,6,71,92,4,,,,,,,,,,,
00-0023074,,,,,150,4,12,106,,,,,,,,,
00-0023437,,,,,602,4,39,389,1,,,,,,,,
00-0025427,559,1,3,62,12,1,,,,,,,,,,,
00-0025458,,,,,125,,28,237,,,,,,,,,
00-0024172,,,,,47,1,2,20,,,,,,,,,
00-0006355,987,5,7,72.6,32,,,,,,,,,,,,
00-0023408,,,,,,,8,160,2,,,,,,,,
00-0025568,,,,,5,,2,5,,,,,,,,,
00-0023051,,,,,,,1,7,,,,,,,,,
00-0017915,,,,,15,,,,,,,,,,,,
