player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0005779,,,,,1115,7,67,642,3,,,,,,,,
00-0005755,4238,31,9,99,403,4,,,,,,,,,,,
00-0013639,,,,39.6,-2,,74,799,7,,,,,,,,
00-0000942,,,,,144,3,31,233,3,,,,,,,,
00-0003039,,,,,,,36,328,2,,,,,,,,
00-0015751,,,,,6,,30,524,3,,,,,,,,
00-0012478,,,,,6,,95,1436,13,,,,,,,,
00-0015811,,,,,,,19,287,,,,,,,,,
00-0019673,,,,,72,,2,55,,,,,,,,,
00-0008196,,,,,6,1,5,48,1,,,,,,,,
00-0015970,,,,,,,1,8,,,,,,,,,
00-0019238,,,,,6,,,,,,,,,,,,
00-0011378,126,1,,86.7,5,,,,,,,,,,,,
00-0019623,-4,,,79.2,-1,,,,,,,,,,,,
