player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0016550,,,,,4,,79,1183,6,,,,,,,,
00-0007468,,,,,16,,72,996,3,,,,,,,,
00-0000745,,,,,253,,66,609,2,,,,,,,,
00-0011425,,,,,,,58,520,3,,,,,,,,
00-0012642,,,,,27,,9,115,,,,,,,,,
00-0003681,,,,,,,9,55,,,,,,,,,
00-0008962,,,,,,,18,318,1,,,,,,,,
00-0017337,,,,,141,2,11,59,,,,,,,,,
00-0003292,2318,8,10,75.2,36,2,,,,,,,,,,,
00-0006212,1697,9,8,76.4,111,1,1,-1,,,,,,,,,
00-0008570,,,,,143,2,12,86,1,,,,,,,,
00-0001112,,,,,126,1,4,27,,,,,,,,,
00-0011506,,,,,348,3,,,,,,,,,,,
00-0003344,,,,,,,8,39,,,,,,,,,
00-0001938,,,,,170,,2,2,,,,,,,,,
00-0000172,,,,,,,1,7,1,,,,,,,,
