player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0035535,,,,,,,48,740,8,,,,,,,,
00-0031344,,,,,,,24,300,2,,,,,,,,
00-0035710,3027,24,12,87.7,279,2,,,,,,,,,,,
00-0034844,,,,,1003,6,52,438,2,,,,,,,,
00-0027891,,,,,16,,49,676,6,,,,,,,,
00-0029587,,,,,,,18,167,1,,,,,,,,
00-0032385,,,,,72,,57,576,3,,,,,,,,
00-0033950,,,,,110,2,11,102,1,,,,,,,,
00-0032813,,,,,39,,2,9,,,,,,,,,
00-0033881,,,,,7,,44,467,3,,,,,,,,
00-0034988,,,,,,,31,268,3,,,,,,,,
00-0022803,1042,6,5,82.6,7,,,,,,,,,,,,
00-0031577,,,,,36,1,1,9,,,,,,,,,
00-0034256,,,,,5,,2,22,,,,,,,,,
00-0030147,,,,,,,3,25,,,,,,,,,
00-0031167,,,,,,,2,11,,,,,,,,,
00-0029623,1,,,79.2,,,,,,,,,,,,,
00-0032795,,,,,,,3,28,,,,,,,,,
