player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0026153,,,,,1133,10,18,139,1,,,,,,,,
00-0024369,,,,,,,25,200,3,,,,,,,,
00-0020337,,,,,22,,65,982,7,,,,,,,,
00-0025542,,,,,,,26,313,2,,,,,,,,
00-0011795,,,,,,,53,581,1,,,,,,,,
00-0024242,,,,,1117,7,29,252,,,,,,,,,
00-0004161,2015,8,18,59.4,60,,,,,,,,,,,,
00-0025432,,,,,,,17,196,1,,,,,,,,
00-0026281,,,,,,,12,242,,,,,,,,,
00-0026276,,,,,,,6,59,,,,,,,,,
00-0019100,,,,,52,1,4,23,1,,,,,,,,
00-0025708,1053,8,2,98.5,-3,,,,,,,,,,,,
00-0026790,,,,,68,,6,62,,,,,,,,,
00-0027080,,,,,49,,2,15,,,,,,,,,
00-0026753,,,,,,,1,6,,,,,,,,,
00-0021206,2,,,39.6,,,,,,,,,,,,,
