player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0025860,,,,,667,11,9,159,,,,,,,,,
00-0027656,,,,,2,1,90,1327,17,,,,,,,,
00-0019596,5235,39,12,105.6,109,3,,,,,,,,,,,
00-0022427,,,,,30,,122,1569,9,,,,,,,,
00-0027713,,,,,45,,79,910,7,,,,,,,,
00-0020397,,,,,,,15,276,1,,,,,,,,
00-0026019,,,,,351,1,18,157,,,,,,,,,
00-0021192,,,,,,,51,702,5,,,,,,,,
00-0028011,,,,,441,1,3,13,,,,,,,,,
00-0027150,,,,,8,,4,32,,,,,,,,,
00-0005091,,,,,57,,7,34,,,,,,,,,
00-0026625,22,,,118.8,-3,,,,,,,,,,,,
00-0027994,,,,,57,1,,,,,,,,,,,
00-0027693,,,,,,,2,39,,,,,,,,,
