player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027861,,,,,1244,6,43,459,2,,,,,,,,
00-0023682,3400,24,16,83.3,197,1,,,,,,,,,,,
00-0026364,,,,,,,79,1046,6,,,,,,,,
00-0025516,,,,,,,43,571,6,,,,,,,,
00-0029660,,,,,5,,31,322,1,,,,,,,,
00-0024318,,,1,0,116,1,14,152,2,,,,,,,,
00-0024204,,,,,437,3,34,217,1,,,,,,,,
00-0026262,,,,,193,1,4,9,,,,,,,,,
00-0027819,,,,,-8,,9,117,,,,,,,,,
00-0028097,,,,,,,4,13,2,,,,,,,,
00-0022421,,,,,,,4,41,,,,,,,,,
00-0025604,30,,,77.1,-1,,,,,,,,,,,,
00-0020804,,,,,,,1,9,,,,,,,,,
00-0027322,,,,,,,2,31,,,,,,,,,
