player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0005106,3885,18,18,72.7,28,1,,,,,,,,,,,
00-0004541,,,,,16,,91,1288,8,,,,,,,,
00-0006305,,,,,1059,5,47,380,1,,,,,,,,
00-0024267,,,,,,,45,632,3,,,,,,,,
00-0023676,,,,,150,1,29,211,2,,,,,,,,
00-0023508,,,,,434,2,17,118,,,,,,,,,
00-0019644,,,,,,,25,232,,,,,,,,,
00-0023074,,,,,210,1,17,85,,,,,,,,,
00-0020332,,,,,,,21,198,2,,,,,,,,
00-0021929,,,,,,,10,150,,,,,,,,,
00-0022421,,,,,,,21,358,1,,,,,,,,
00-0007254,,,,,,,12,62,,,,,,,,,
00-0022773,,,,,,,9,57,,,,,,,,,
00-0020490,,,,,,,7,89,,,,,,,,,
00-0020428,,,,,,,5,31,1,,,,,,,,
00-0023459,46,,,48.2,11,,,,,,,,,,,,
00-0023889,,,,,,,2,16,,,,,,,,,
00-0023742,16,,,118.8,-11,,,,,,,,,,,,
00-0024362,,,,,-5,,,,,,,,,,,,
