player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022929,,,,,13,,51,804,2,,,,,,,,
00-0024466,,,,,6,,70,1074,9,,,,,,,,
00-0020531,4388,34,11,109.6,33,2,1,-4,,,,,,,,,
00-0025414,,,,,82,,45,722,9,,,,,,,,
00-0024813,,,,,793,6,39,302,2,,,,,,,,
00-0024217,,,,,390,5,47,335,3,,,,,,,,
00-0021148,,,,,,,48,569,3,,,,,,,,
00-0024011,,,,,654,5,4,12,,,,,,,,,
00-0024301,,,,,,,35,356,1,,,,,,,,
00-0020507,,,,,16,1,10,70,2,,,,,,,,
00-0023310,,,,,,,14,153,2,,,,,,,,
00-0026121,,,,,125,2,5,48,,,,,,,,,
00-0020550,,,,,,,5,22,1,,,,,,,,
00-0002110,102,,1,44,-3,,,,,,,,,,,,
00-0023251,,,,,6,,2,14,,,,,,,,,
00-0023503,,,,,,,1,6,,,,,,,,,
00-0023210,,,,,,,1,7,,,,,,,,,
