player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0021192,,,,,,,78,998,5,,,,,,,,
00-0019596,4110,26,14,92.3,89,1,,,,,,,,,,,
00-0022943,,,,,,,29,441,4,,,,,,,,
00-0021353,,,,,13,,59,738,2,,,,,,,,
00-0004304,,,,,733,12,22,181,1,,,,,,,,
00-0002068,,,,,,,39,466,2,,,,,,,,
00-0019533,,,,,245,3,22,227,,,,,,,,,
00-0004673,,,,,11,,19,332,3,,,,,,,,
00-0020507,,,,,192,,14,105,,,,,,,,,
00-0005091,,,,,144,,29,260,,,,,,,,,
00-0021175,,,,,,,9,190,1,,,,,,,,
00-0021154,,,,,,,16,235,3,,,,,,,,
00-0005101,,,,,,,8,57,2,,,,,,,,
00-0005363,29,,,56.3,-1,,,,,,,,,,,,
00-0021993,,,,,,,4,67,1,,,,,,,,
00-0023662,183,2,1,89.4,13,,,,,,,,,,,,
00-0023701,,,,,,,3,32,,,,,,,,,
00-0019995,,,,,,,1,1,1,,,,,,,,
