player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0010442,,,,,1094,7,49,362,,,,,,,,,
00-0018958,,,,,39,,89,1264,5,,,,,,,,
00-0000339,,,,39.6,27,,45,257,1,,,,,,,,
00-0019559,3120,22,6,104.2,49,2,,,,,,,,,,,
00-0020494,,,,,48,,30,433,4,,,,,,,,
00-0002962,,,,39.6,,,51,691,9,,,,,,,,
00-0019457,,,,,,,28,243,5,,,,,,,,
00-0020462,,,,,316,3,17,160,,,,,,,,,
00-0015420,,,,,,,9,85,1,,,,,,,,
00-0015959,,,,,,,5,78,,,,,,,,,
00-0016193,499,3,3,78.3,23,,,,,,,,,,,,
00-0019590,,,,,8,,3,19,,,,,,,,,
00-0021213,,,,,,,2,14,,,,,,,,,
00-0016689,,,1,0,14,,,,,,,,,,,,
00-0020126,,,,,,,1,13,,,,,,,,,
