player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0006331,,,,,13,,49,726,1,,,,,,,,
00-0008561,,,,,5,,69,842,8,,,,,,,,
00-0009266,2689,18,13,75.2,338,5,,,,,,,,,,,
00-0004640,,,,,1097,8,44,422,1,,,,,,,,
00-0011551,,,,,,,29,288,3,,,,,,,,
00-0000387,,,,,,,15,232,4,,,,,,,,
00-0000251,,,,39.6,465,5,12,92,,,,,,,,,
00-0006804,,,,,,,6,39,,,,,,,,,
00-0015601,,,,,31,,1,15,,,,,,,,,
00-0000007,,,,,70,,2,14,,,,,,,,,
00-0018483,19,,,93.1,-2,,,,,,,,,,,,
00-0017847,,,,,,,2,35,,,,,,,,,
00-0019127,,,,,,,1,1,,,,,,,,,
00-0013850,,,,,,,1,36,,,,,,,,,
00-0019579,,,,,-2,,,,,,,,,,,,
00-0014115,36,,,118.8,,,,,,,,,,,,,
00-0010790,,,,,,,1,2,1,,,,,,,,
