player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,def_int,fg_made,fg_att,punt_avg
tom-brady,4806,50,8,117.2,,,,,,,,,,
randy-moss,,,,,,,98,1493,23,,,,,
wes-welker,,,,,,,112,1175,8,,,,,
donte-stallworth,,,,,,,46,697,3,,,,,
laurence-maroney,,,,,835,6,4,116,0,,,,,
benjamin-watson,,,,,,,36,389,6,,,,,
mike-vrabel,,,,,,,,,,12.5,,,,
asante-samuel,,,,,,,,,,,6,,,
stephen-gostkowski,,,,,,,,,,,,21,24,
chris-hanson,,,,,,,,,,,,,,44.0
