player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0019703,,,,,-4,,64,998,9,,,,,,,,
00-0018501,,,,,425,3,39,284,,,,,,,,,
00-0022102,,,,,7,,33,551,2,,,,,,,,
00-0021183,,,,,,,27,313,2,,,,,,,,
00-0019722,,,,,119,,32,233,,,,,,,,,
00-0003292,3495,21,20,74.8,35,,,,,,,,,,,,
00-0013639,,,,,,,30,429,3,,,,,,,,
00-0003663,,,,,232,2,16,87,,,,,,,,,
00-0021337,,,,39.6,-3,,50,679,6,,,,,,,,
00-0022093,,,,,126,1,11,68,,,,,,,,,
00-0017486,,,,,327,4,15,78,,,,,,,,,
00-0017611,,,,,,,9,227,2,,,,,,,,
00-0022704,,,,,,,13,175,1,,,,,,,,
00-0022051,,,,,,,9,131,2,,,,,,,,
00-0005741,524,3,2,86.9,26,,,,,,,,,,,,
00-0007357,,,,,4,,3,28,,,,,,,,,
00-0020770,,,,,,,3,80,,,,,,,,,
00-0022873,,,,,,,1,20,,,,,,,,,
