player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0010346,4700,33,17,91.9,18,,,,,,,,,,,,
00-0020498,,,,,,,111,1355,6,,,,,,,,
00-0026345,,,,,6,,68,816,6,,,,,,,,
00-0027003,,,,,497,2,20,205,,,,,,,,,
00-0027477,,,,,,,36,355,5,,,,,,,,
00-0026267,,,,,,,67,631,4,,,,,,,,
00-0027092,,,,,,,57,617,8,,,,,,,,
00-0027467,,,,,112,6,9,63,,,,,,,,,
00-0024245,,,,,495,4,19,124,,,,,,,,,
00-0027761,,,,,,,5,39,,,,,,,,,
00-0022165,,,,,,,37,347,3,,,,,,,,
00-0026342,,,,,185,1,6,25,,,,,,,,,
00-0024529,,,,,,,3,12,1,,,,,,,,
00-0019863,,,,,172,,1,4,,,,,,,,,
00-0025419,,,,,,,5,67,,,,,,,,,
00-0026620,,,,,-2,,,,,,,,,,,,
