player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0015830,,,,,78,,22,166,,,,,,,,,
00-0007091,3455,24,10,97,124,1,,,,,,,,,,,
00-0019647,,,,,1880,27,15,78,1,,,,,,,,
00-0008962,,,,,,,55,694,10,,,,,,,,
00-0021159,,,,,,,45,554,5,,,,,,,,
00-0004915,,,,,,,67,774,3,,,,,,,,
00-0021182,,,,,288,1,5,48,,,,,,,,,
00-0022701,,,,,,,28,400,2,,,,,,,,
00-0021282,,,,,,,13,89,1,,,,,,,,
00-0019455,,,,,5,,11,180,,,,,,,,,
00-0019663,,,,,7,,38,482,3,,,,,,,,
00-0023063,,,,,80,,1,12,,,,,,,,,
00-0022055,173,1,1,70.9,-5,,,,,,,,,,,,
00-0021647,,,,,,,7,151,,,,,,,,,
