player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0027651,,,,,516,1,46,328,1,,,,,,,,
00-0025410,,,,,12,,81,1159,5,,,,,,,,
00-0025529,,,,,25,,61,785,2,,,,,,,,
00-0019641,,,,,478,,5,43,,,,,,,,,
00-0025701,,,,,597,2,9,68,,,,,,,,,
00-0024287,,,,,,,24,247,1,,,,,,,,
00-0027964,,,,,,,21,254,1,,,,,,,,
00-0025524,,,,,51,1,14,82,1,,,,,,,,
00-0023541,1758,9,9,77.8,13,,,,,,,,,,,,
00-0023662,1713,10,9,76.6,99,,1,-4,,,,,,,,,
00-0022388,,,,,,,8,114,,,,,,,,,
00-0024812,796,2,7,59.8,15,,,,,,,,,,,,
00-0027154,,,,,,,7,52,,,,,,,,,
00-0021647,,,,,7,,4,35,1,,,,,,,,
00-0019457,,,,,,,3,26,,,,,,,,,
00-0026213,,,,,83,,5,9,1,,,,,,,,
00-0027660,,,,,12,1,,,,,,,,,,,
00-0027308,,,,,5,,,,,,,,,,,,
00-0027567,,,,,,,1,1,,,,,,,,,
00-0023534,,,,,-3,,,,,,,,,,,,
