player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0017162,,,,39.6,83,,94,1003,4,,,,,,,,
00-0015700,3109,14,11,81.7,537,5,,,,,,,,,,,
00-0019642,,,,,,,66,1008,6,,,,,,,,
00-0004780,,,,,28,1,19,283,,,,,,,,,
00-0014729,,,,,,,24,409,2,,,,,,,,
00-0018501,,,,,441,1,13,154,1,,,,,,,,
00-0005620,,,,,453,3,16,127,1,,,,,,,,
00-0001215,32,1,,135.4,1072,4,8,48,,,,,,,,,
00-0016677,,,,,,,7,96,1,,,,,,,,
00-0018141,,,,,24,,6,32,,,,,,,,,
00-0002102,,,,,,,12,98,,,,,,,,,
00-0019135,,,,,29,1,2,5,,,,,,,,,
00-0003803,,,,,,,5,24,1,,,,,,,,
00-0010261,154,1,1,116.2,9,1,,,,,,,,,,,
00-0019826,,,,,84,1,1,,,,,,,,,,
00-0001980,,,,,6,,,,,,,,,,,,
00-0019633,,,,,8,,,,,,,,,,,,
00-0001317,,,,,,,1,8,,,,,,,,,
