player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0020397,,,,,,,90,1355,10,,,,,,,,
00-0009311,3605,26,15,87.5,117,,,,,,,,,,,,
00-0019455,,,,,143,,80,833,7,,,,,,,,
00-0001098,,,,,173,,25,176,1,,,,,,,,
00-0022141,,,,,41,1,15,82,1,,,,,,,,
00-0004304,,,,,541,2,11,71,,,,,,,,,
00-0020407,,,,,967,9,21,146,,,,,,,,,
00-0021084,,,,,,,24,332,2,,,,,,,,
00-0022171,,,,,5,,22,299,4,,,,,,,,
00-0020268,,,,,,,21,212,,,,,,,,,
00-0009119,,,,,,,13,81,1,,,,,,,,
00-0021931,,,,,,,3,18,,,,,,,,,
00-0020267,,,,39.6,,,,,,,,,,,,,
