player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022943,,,,,,,61,522,4,,,,,,,,
00-0031577,,,,,591,4,46,250,2,,,,,,,,
00-0026158,3141,18,13,80.4,54,1,,,,,,,,,,,
00-0032426,,,,,973,6,23,187,,,,,,,,,
00-0026901,,,,,4,,52,748,4,,,,,,,,
00-0031598,,,,,,,28,203,,,,,,,,,
00-0026995,,,,,,,40,440,3,,,,,,,,
00-0032054,,,,,,,10,77,,,,,,,,,
00-0031025,,,,,42,,19,173,1,,,,,,,,
00-0032398,,,,,-9,,18,248,3,,,,,,,,
00-0031558,,,,,6,,15,86,1,,,,,,,,
00-0026019,,,,,56,,33,200,,,,,,,,,
00-0031375,,,,,138,2,2,23,,,,,,,,,
00-0033376,,,,,,,4,12,2,,,,,,,,
00-0032188,,,,,2,1,,,,,,,,,,,
00-0028012,56,2,,103.1,-3,,,,,,,,,,,,
00-0024417,38,,,118.8,,,,,,,,,,,,,
