player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022084,-6,,,79.2,2,,64,837,7,,,,,,,,
00-0010500,,,,,,,61,802,7,,,,,,,,
00-0026158,3622,25,10,93.6,84,1,,,,,,,,,,,
00-0026195,,,,,1220,5,63,556,1,,,,,,,,
00-0020438,,,,,,,30,398,3,,,,,,,,
00-0022178,,,,,380,5,14,55,1,,,,,,,,
00-0025524,,,,,85,,21,134,,,,,,,,,
00-0020516,,,,,,,40,599,5,,,,,,,,
00-0027675,,,,,,,11,152,1,,,,,,,,
00-0021147,,,,,45,,2,82,,,,,,,,,
00-0027755,,,,,15,,,,,,,,,,,,
00-0027714,,,,,,,1,1,,,,,,,,,
00-0026369,,,,,,,1,13,,,,,,,,,
00-0024417,13,,,118.8,,,,,,,,,,,,,
