player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0022084,,,1,0,40,,101,1377,8,,,,,,,,
00-0020022,,,,,830,,30,184,,,,,,,,,
00-0008749,,,,,,,55,517,3,,,,,,,,
00-0022156,,,,,,,35,438,1,,,,,,,,
00-0001335,2252,13,15,69.5,177,2,,,,,,,,,,,
00-0021048,,,,,68,,6,36,,,,,,,,,
00-0019302,,,,,,,17,213,2,,,,,,,,
00-0015165,,,,,256,2,14,107,,,,,,,,,
00-0007546,,,,,6,,14,58,2,,,,,,,,
00-0021206,1018,5,6,70.7,164,1,,,,,,,,,,,
00-0020021,,,,,,,13,177,1,,,,,,,,
00-0002380,,,,,,,11,71,1,,,,,,,,
00-0021094,,,,,,,4,53,,,,,,,,,
00-0021098,,,,,,,1,9,,,,,,,,,
00-0020256,,,,,-4,,1,23,,,,,,,,,
