player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0033288,,,,,10,,88,1377,5,,,,,,,,
00-0033307,,,,,,,42,487,4,,,,,,,,
00-0029892,,,,,30,,30,324,1,,,,,,,,
00-0033308,,,,,814,3,27,261,2,,,,,,,,
00-0033292,,,,,,,26,215,1,,,,,,,,
00-0029141,,,,,428,2,8,73,,,,,,,,,
00-0030068,,,,,9,,23,395,4,,,,,,,,
00-0034860,,,,,-2,,27,467,5,,,,,,,,
00-0033319,2277,13,10,90.8,-16,,,,,,,,,,,,
00-0026345,,,,,,,24,286,1,,,,,,,,
00-0034286,,,,,,,9,130,1,,,,,,,,
00-0028903,,,,,,,5,90,2,,,,,,,,
00-0034115,,,,,266,,12,98,,,,,,,,,
00-0031687,,,,,261,1,6,25,,,,,,,,,
00-0033936,1252,8,7,81.8,69,1,,,,,,,,,,,
00-0031345,718,5,3,90,33,,,,,,,,,,,,
00-0034073,,,,,,,2,14,,,,,,,,,
00-0025415,,,,,,,1,-5,,,,,,,,,
