player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0001361,2860,11,12,73,29,2,,,,,,,,,,,
00-0014729,,,,,,,56,732,4,,,,,,,,
00-0020471,,,1,0,1353,10,28,158,1,,,,,,,,
00-0021166,,,,,38,,58,588,2,,,,,,,,
00-0011770,,,,,,,64,780,1,,,,,,,,
00-0002586,,,,,,,34,339,1,,,,,,,,
00-0020917,,,,,113,,7,62,,,,,,,,,
00-0005822,,,,,3,,11,83,,,,,,,,,
00-0019484,,,,,70,1,14,100,,,,,,,,,
00-0016838,49,,3,14.2,-6,,,,,,,,,,,,
00-0011551,,,,,,,7,82,2,,,,,,,,
00-0021028,,,,,,,8,69,,,,,,,,,
00-0018578,,,,,14,,3,41,,,,,,,,,
00-0021915,,,,,,,3,35,,,,,,,,,
00-0019192,160,,1,80.6,5,,,,,,,,,,,,
00-0021425,,,,,17,,,,,,,,,,,,
00-0011626,,,,,21,,,,,,,,,,,,
00-0020786,,,,,4,,,,,,,,,,,,
