player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,tackles,def_int,forced_fumbles,fg_made,fg_att,fg_pct,punt_avg
00-0036265,,,,,770,7,28,206,,,,,,,,,
00-0033293,,,,,1121,2,59,395,5,,,,,,,,
00-0023459,3695,26,12,91.1,94,1,,,,,,,,,,,
00-0033757,,,,,,,53,470,2,,,,,,,,
00-0034521,,,,,,,60,788,6,,,,,,,,
00-0038124,,,,,80,2,41,611,7,,,,,,,,
00-0028002,,,,,,,34,417,1,,,,,,,,
00-0037816,,,,,11,,42,425,3,,,,,,,,
00-0036332,,,,,,,13,114,,,,,,,,,
00-0024243,,,,,,,6,66,2,,,,,,,,
00-0036250,,,,,,,4,26,,,,,,,,,
00-0036264,195,1,,112.2,-1,,,,,,,,,,,,
00-0035973,,,,,31,,1,17,,,,,,,,,
00-0037098,,,,,,,5,82,1,,,,,,,,
