player_id,pass_yds,pass_td,pass_int,passer_rating,rush_yds,rush_td,receptions,rec_yds,rec_td,sacks,def_int,fg_made,fg_att,punt_avg
joe-montana,3521,26,8,112.4,,,,,,,,,,
jerry-rice,,,,,,,82,1483,17,,,,,
john-taylor,,,,,,,60,1077,10,,,,,
roger-craig,,,,,1054,6,49,473,1,,,,,
tom-rathman,,,,,305,1,73,616,1,,,,,
brent-jones,,,,,,,40,500,4,,,,,
charles-haley,,,,,,,,,,10.5,,,,
ronnie-lott,,,,,,,,,,,5,,,
mike-cofer,,,,,,,,,,,,29,36,
barry-helton,,,,,,,,,,,,,,39.4
