player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Bill Murrell,TE,,0,75,220,1956-06-14,,,14,,,,nflverse
,Bob Pollard,EDGE,,0,75,250,1948-12-30,,,14,,,,nflverse
,Bob Rozier,EDGE,,0,75,240,1955-07-28,,,14,,,,nflverse
,Bob Young,LG,RG,0,73,270,1942-09-03,,,14,,,,nflverse
,Brad Oates,LT,RT,0,78,270,1953-09-30,,,14,,,,nflverse
,Calvin Favron,LB,,0,73,225,1957-07-03,,,14,,,,nflverse
,Carl Allen,CB,,0,72,185,1955-12-21,,,14,,,,nflverse
,Charles Davis,DT,,0,73,265,1951-11-17,,,14,,,,nflverse
,Chris Garlich,LB,,0,73,220,1957-07-17,,,14,,,,nflverse
,Chuck Brown,C,,0,73,235,1957-03-15,,,14,,,,nflverse
,Dan Dierdorf,LT,RT,0,75,275,1949-06-29,,,14,,,,nflverse
,Dave Stief,WR,,0,75,195,1956-01-29,,,14,,,,nflverse
,Eric Williams,LB,,0,74,235,1955-06-17,,,14,,,,nflverse
,Gary Parris,TE,,0,74,226,1950-06-13,,,14,,,,nflverse
,George Collins,LG,RG,0,74,248,1955-12-09,,,14,,,,nflverse
,Jim Hart,QB,,0,73,215,1944-04-29,,,14,,,,nflverse
,Jim Ramey,EDGE,,0,76,247,1957-03-09,,,14,,,,nflverse
,Jimmy Childs,WR,,0,74,194,1956-08-09,,,14,,,,nflverse
,Joe Bostic,LT,RT,0,75,265,1957-04-20,,,14,,,,nflverse
,John Barefield,LB,,0,74,224,1955-03-23,,,14,,,,nflverse
,John Zook,EDGE,,0,76,243,1947-09-24,,,14,,,,nflverse
,Keith Simons,DT,,0,75,254,1954-04-26,,,14,,,,nflverse
,Keith Wortman,LT,RT,0,74,245,1950-07-20,,,14,,,,nflverse
,Ken Greene,S,,0,75,203,1956-05-08,,,14,,,,nflverse
,Ken Stone,S,,0,73,179,1950-09-14,,,14,,,,nflverse
,Kurt Allerman,LB,,0,75,222,1955-08-30,,,14,,,,nflverse
,Lee Nelson,CB,,0,70,185,1954-01-30,,,14,,,,nflverse
,Mark Arneson,LB,,0,74,220,1949-09-09,,,14,,,,nflverse
,Mel Gray,WR,,0,69,175,1948-09-28,,,14,,,,nflverse
,Mike Dawson,EDGE,,0,76,270,1953-10-16,,,14,,,,nflverse
,Mike Loyd,QB,,0,74,216,1956-05-06,,,14,,,,nflverse
00-0000335,Ottis Anderson,RB,,0,74,220,1957-01-19,,,14,,,,nflverse
,Pat Tilley,WR,,0,70,178,1953-02-15,,,14,,,,nflverse
,Perry Smith,CB,,0,73,195,1951-03-29,,,14,,,,nflverse
,Randy Love,RB,,0,73,205,1956-09-30,,,14,,,,nflverse
,Richard Osborne,TE,,0,75,230,1953-10-31,,,14,,,,nflverse
,Robert Hawkins,RB,,0,72,195,1956-11-15,,,14,,,,nflverse
,Rod Phillips,RB,,0,72,220,1952-12-23,,,14,,,,nflverse
,Roger Wehrli,CB,,22,72,190,1947-11-26,,,14,,,,nflverse
,Ron Yankowski,EDGE,,0,77,240,1946-10-23,,,14,,,,nflverse
00-0006349,Roy Green,WR,,0,72,195,1957-06-30,,,14,,,,nflverse
,Sean Clancy,LB,,0,76,218,1956-10-22,,,14,,,,nflverse
,Steve Henry,CB,,0,74,190,1957-03-05,,,14,,,,nflverse
,Steve Little,K,,0,72,180,1956-02-19,,,14,,,,nflverse
,Steve Neils,LB,,0,74,210,1951-05-02,,,14,,,,nflverse
,Steve Pisarkiewicz,QB,,0,74,205,1953-11-10,,,14,,,,nflverse
,Terry Stieve,LG,RG,0,74,265,1954-03-10,,,14,,,,nflverse
,Theotis Brown,RB,,0,74,225,1957-04-20,,,14,,,,nflverse
,Thomas Lott,RB,,0,71,205,1957-08-01,,,14,,,,nflverse
,Tim Kearney,LB,,0,74,227,1950-11-05,,,14,,,,nflverse
,Tom Banks,C,,0,73,245,1948-08-20,,,14,,,,nflverse
,Tom Brahaney,C,,0,74,225,1951-10-23,,,14,,,,nflverse
,Wayne Morris,RB,,0,72,200,1954-05-03,,,14,,,,nflverse
,Willard Harrell,RB,,0,68,182,1952-09-16,,,14,,,,nflverse
