player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Al Bemiller,C,,0,75,243,1938-04-18,,,14,,,,nflverse
,Angelo Loukas,LG,RG,0,75,250,1947-02-25,,,14,,,,nflverse
,Bill Enyart,RB,,0,76,235,1947-04-28,,,14,,,,nflverse
,Billy Masters,TE,,0,77,240,1944-03-15,,,14,,,,nflverse
,Billy Shaw,LG,RG,0,74,258,1938-12-15,,,14,,,,nflverse
,Bob Kruse,LG,RG,0,74,259,1942-02-10,,,14,,,,nflverse
,Bob Tatarek,DT,,0,76,270,1946-07-03,,,14,,,,nflverse
,Bobby Crockett,WR,,0,75,200,1943-04-03,,,14,,,,nflverse
,Booker Edgerson,CB,,0,70,183,1939-07-05,,,14,,,,nflverse
,Bruce Alford,K,,0,72,190,1945-04-21,,,14,,,,nflverse
,Bubba Thornton,WR,,0,72,174,1947-03-09,,,14,,,,nflverse
,Butch Byrd,CB,,0,72,211,1941-09-20,,,14,,,,nflverse
,Charley Ferguson,WR,,0,77,217,1939-11-13,,,14,,,,nflverse
,Chuck DeVliegher,DT,,0,76,265,1947-01-02,,,14,,,,nflverse
,Dan Darragh,QB,,0,75,196,1946-11-28,,,14,,,,nflverse
,Dave Ogas,LB,,0,73,225,1946-07-23,,,14,,,,nflverse
,Edgar Chandler,LB,,0,75,225,1946-08-31,,,14,,,,nflverse
,George Saimes,CB,,0,71,186,1941-09-01,,,14,,,,nflverse
,Harry Jacobs,LB,,0,73,226,1937-02-04,,,14,,,,nflverse
,Haven Moses,WR,,0,74,208,1946-07-27,,,14,,,,nflverse
,Hilton Crawford,CB,,0,74,195,1945-02-02,,,14,,,,nflverse
,Howard Kindig,EDGE,,0,78,265,1941-06-22,,,14,,,,nflverse
,Jack Kemp,QB,,0,73,201,1935-07-13,,,14,,,,nflverse
,James Harris,QB,,0,76,210,1947-07-20,,,14,,,,nflverse
,Jerald Collins,LB,,0,74,220,1947-02-01,,,14,,,,nflverse
,Jim Dunaway,DT,,0,76,277,1941-09-03,,,14,,,,nflverse
,Joe O'Donnell,LG,RG,0,74,262,1941-08-31,,,14,,,,nflverse
,John Pitts,CB,,0,76,218,1945-02-28,,,14,,,,nflverse
,Julian Nunamaker,EDGE,,0,75,252,1946-02-13,,,14,,,,nflverse
,Marlin Briscoe,WR,,0,71,178,1945-09-10,,,14,,,,nflverse
,Max Anderson,RB,,0,68,180,1945-06-06,,,14,,,,nflverse
,Mike McBath,EDGE,,0,76,251,1946-05-29,,,14,,,,nflverse
,Mike Richey,LT,RT,0,76,263,1947-01-30,,,14,,,,nflverse
,Mike Stratton,LB,,0,75,224,1941-04-10,,,14,,,,nflverse
,O.J. Simpson,RB,,0,73,212,1947-07-09,,,14,,,,nflverse
,Paul Costa,LT,RT,0,78,268,1941-12-07,,,14,,,,nflverse
,Paul Guidry,LB,,0,75,227,1944-01-14,,,14,,,,nflverse
,Paul Maguire,LB,,0,72,228,1938-08-22,,,14,,,,nflverse
,Pete Richardson,CB,,0,72,193,1946-10-17,,,14,,,,nflverse
,Preston Ridlehuber,RB,,0,74,217,1943-11-02,,,14,,,,nflverse
,Robert James,CB,,0,73,184,1947-07-07,,,14,,,,nflverse
,Ron McDole,EDGE,,0,76,265,1939-09-09,,,14,,,,nflverse
,Roy Reeves,WR,,0,72,182,1946-02-08,,,14,,,,nflverse
,Stew Barber,LT,RT,0,74,250,1939-06-14,,,14,,,,nflverse
,Tom Sherman,QB,,0,72,190,1945-12-05,,,14,,,,nflverse
,Waddey Harvey,DT,,0,76,282,1947-03-26,,,14,,,,nflverse
,Wayne Patrick,RB,,0,74,254,1946-09-01,,,14,,,,nflverse
,Willie Grate,TE,,0,76,225,1945-05-25,,,14,,,,nflverse
