player_id,name,position,secondary_positions,jersey_number,height,weight,birth_date,college,years_exp,games,games_started,scout_grade,awards,notes
,Al Dodd,WR,,0,72,185,1945-08-21,,,14,,,,nflverse
,Archie Manning,QB,,0,75,212,1949-05-19,,,14,,,,nflverse
,Billy Harris,RB,,0,74,204,1946-01-17,,,14,,,,nflverse
,Bivian Lee,CB,,0,75,200,1948-08-03,,,14,,,,nflverse
,Bob Gresham,RB,,0,71,195,1948-07-09,,,14,,,,nflverse
,Bob Newland,WR,,0,74,190,1948-10-27,,,14,,,,nflverse
,Bob Pollard,DT,,0,75,250,1948-12-30,,,14,,,,nflverse
,Carl Cunningham,LB,,0,76,230,1944-07-23,,,14,,,,nflverse
,Carlos Bell,TE,,0,77,238,1947-09-21,,,14,,,,nflverse
,Charlie Durkee,K,,0,71,165,1944-06-25,,,14,,,,nflverse
,Dan Goich,DT,,0,76,240,1944-04-30,,,14,,,,nflverse
,Danny Abramowicz,WR,,0,73,195,1945-07-13,,,14,,,,nflverse
,Dave Kopay,RB,,0,72,218,1942-06-28,,,14,,,,nflverse
,Dave Long,DT,,0,76,245,1944-09-06,,,14,,,,nflverse
,Dave Parks,TE,,0,74,220,1941-12-25,,,14,,,,nflverse
,Dee Martin,CB,,0,73,190,1949-03-28,,,14,,,,nflverse
,Del Williams,LG,RG,0,74,240,1945-11-09,,,14,,,,nflverse
,Delles Howell,CB,,0,75,200,1948-08-22,,,14,,,,nflverse
,Dick Absher,LB,,0,76,230,1944-04-19,,,14,,,,nflverse
,Don Burchfield,TE,,0,75,233,1949-03-17,,,14,,,,nflverse
,Don Morrison,LT,RT,0,77,255,1949-12-16,,,14,,,,nflverse
,Doug Mooers,DT,,0,78,255,1947-03-11,,,14,,,,nflverse
,Doug Wyatt,S,,0,73,195,1946-10-18,,,14,,,,nflverse
,Edd Hargett,QB,,0,71,185,1947-06-26,,,14,,,,nflverse
,Glen Ray Hines,LT,RT,0,77,265,1943-10-26,,,14,,,,nflverse
,Hoyle Granger,RB,,0,73,225,1944-03-07,,,14,,,,nflverse
,Hugo Hollas,S,,0,73,190,1945-11-30,,,14,,,,nflverse
,Jake Kupp,LG,RG,0,75,248,1941-03-12,,,14,,,,nflverse
,James Ford,RB,,0,72,200,1949-09-11,,,14,,,,nflverse
,Jim Flanigan,LB,,0,75,240,1945-04-15,,,14,,,,nflverse
,Jim Strong,RB,,0,73,215,1946-12-12,,,14,,,,nflverse
,Joe Owens,EDGE,,0,74,245,1946-11-08,,,14,,,,nflverse
,John Didion,C,,0,76,245,1947-10-24,,,14,,,,nflverse
,John Huard,LB,,0,72,228,1944-03-09,,,14,,,,nflverse
,John Shinners,LG,RG,0,75,255,1947-03-01,,,14,,,,nflverse
,Julian Fagan,P,,0,75,205,1948-02-21,,,14,,,,nflverse
,Larry Estes,EDGE,,0,78,250,1946-12-09,,,14,,,,nflverse
,Mike Walker,EDGE,,0,76,235,1949-11-07,,,14,,,,nflverse
,Ray Hester,LB,,0,74,215,1949-03-31,,,14,,,,nflverse
,Remi Prudhomme,EDGE,,0,76,250,1942-04-24,,,14,,,,nflverse
,Reynaud Moore,S,,0,74,190,1949-10-17,,,14,,,,nflverse
,Richard Harvey,CB,,0,74,190,1945-10-22,,,14,,,,nflverse
,Richard Neal,EDGE,,0,75,260,1947-09-02,,,14,,,,nflverse
,Sam Holden,LT,RT,0,75,258,1947-02-24,,,14,,,,nflverse
,Tom Roussel,LB,,0,75,235,1945-01-20,,,14,,,,nflverse
,Virgil Robinson,RB,,0,71,195,1947-11-02,,,14,,,,nflverse
,Wayne Colman,LB,,0,74,230,1946-04-13,,,14,,,,nflverse
