player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,4,REG,JAX,30,47,282,1,0,3,16,1,0,399,121,14,3.41963919475313,0,0.706766917293233,0.088168469035022,3,1,0,0,0,0,-2.47148955678393,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.38,15.38
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,5,REG,HOU,18,29,213,2,0,0,0,0,0,238,67,10,10.8490357954949,0,0.894957983193277,0.180204635201075,3,-3,0,0,0,0,-1.53338733530836,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,16.22,16.22
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,11,REG,ATL,23,32,213,2,2,2,11,0,0,186,147,11,-0.586954089812934,0,1.14516129032258,0.114172844632421,3,8,0,0,0,1,0.204641766787972,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,13.32,13.32
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,12,REG,TB,26,42,315,2,0,3,6,0,0,300,108,18,10.0527990140824,0,1.05,0.154694480993297,3,-3,0,0,0,0,-1.28121130645741,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.3,20.3
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,13,REG,PIT,16,26,169,1,2,2,14,1,1,152,92,9,-10.8108709962689,0,1.11184210526316,0.0148459799619474,2,1,0,0,0,0,-1.0179952388644,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.86,4.86
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,14,REG,JAX,18,35,252,0,0,3,33,1,1,280,153,9,-11.7108333389422,0,0.9,-0.0432097612325685,1,10,0,0,0,1,1.04592835414223,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,9.08,9.08
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,15,REG,HOU,17,30,147,1,1,2,20,0,0,248,49,9,-3.75826154519063,0,0.592741935483871,0.00538908513069583,1,1,0,0,0,0,-0.817138308077119,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.98,7.98
00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",IND,2015,16,REG,MIA,8,15,99,0,0,1,1,0,0,97,42,5,2.43238471576478,0,1.02061855670103,0.0178571846801153,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.96,3.96
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,1,REG,BAL,24,40,175,0,1,4,25,0,0,288,71,11,-12.0476240715165,0,0.607638888888889,-0.0154519016180715,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.9,4.9
00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",DEN,2015,2,REG,KC,26,45,256,3,1,3,18,0,0,452,58,15,-2.29492816278208,0,0.566371681415929,0.0574490432210218,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.24,20.24
