player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000108,,David Akers,K,SPEC,,PHI,2002,3,REG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,10,0,0,0,1,2.61475074623013,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1,1
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,1,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,11,0,0,0,0,0,1,-3.1305421195575,0,0,0.107142857142857,,,0,1.1,2.1
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,2,REG,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,9,25,1,0,0,0,0,1,2.33090671821265,0,0,0.2,,,0,8.5,11.5
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,3,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,12,0,0,0,0,0,1,0.627578064100817,0,0,0.0689655172413793,,,0,1.2,2.2
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,4,REG,SEA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,12,24,0,0,0,0,0,1,-6.20597974007251,0,0,0.226415094339623,,,0,2.4,6.4
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,6,REG,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,5,31,0,0,0,0,0,2,-5.2859972974984,0,0,0.142857142857143,,,0,3.1,5.1
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,7,REG,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,22,0,0,0,0,0,1,0.0856093936599791,0,0,0.102564102564103,,,0,2.2,4.2
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,8,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,9,0,0,0,0,0,0,0.229050366440788,0,0,0.0666666666666667,,,0,0.9,1.9
00-0000145,,Derrick Alexander,WR,WR,,MIN,2002,9,REG,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,0,-1.59135656850413,0,,0.08,,,0,0,0
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,1,REG,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,-0.427155114011839,0,,0.0526315789473684,,,0,0,0
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,2,REG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,3,0,0,0,0,0,0,-4.36215938435635,0,0,0.25,,,0,0.3,3.3
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,3,REG,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,44,0,0,0,0,0,3,5.77303340879735,0,0,0.133333333333333,,,0,4.4,7.4
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,4,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,0,-1.81961878575385,0,,0.117647058823529,,,0,0,0
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,5,REG,DEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,8,0,0,0,0,0,0,-5.12837719690288,0,0,0.0476190476190476,,,0,0.8,1.8
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,9,REG,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,7,8,84,0,0,0,0,0,4,0.711098195752129,0,0,0.228571428571429,,,0,8.4,15.4
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,10,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,12,0,0,0,0,0,0,-4.82772029412445,0,0,0.15,,,0,1.2,2.2
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,11,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,5,18,0,0,0,0,0,1,-7.86351243347431,0,0,0.1,,,0,1.8,3.8
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,12,REG,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,11,61,0,1,0,0,0,3,-1.49103167362046,0,0,0.5,,,0,6.1,14.1
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,13,REG,DEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,40,0,0,0,0,0,2,-2.33875378415008,0,0,0.153846153846154,,,0,4,7
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,14,REG,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,24,0,0,0,0,0,2,-0.858571585500613,0,0,0.162162162162162,,,0,2.4,6.4
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,15,REG,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,42,0,0,0,0,0,2,1.301765886863,0,0,0.21875,,,0,4.2,7.2
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,16,REG,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,45,0,0,0,0,0,2,3.43798208062071,0,0,0.0789473684210526,,,0,4.5,6.5
00-0000166,,Stephen Alexander,TE,TE,,LAC,2002,17,REG,SEA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,11,129,1,0,0,0,0,6,9.1533109824275,0,0,0.229166666666667,,,0,18.9,26.9
00-0000210,,James Allen,RB,RB,,HOU,2002,1,REG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,19,56,0,0,0,1,-7.77400165202562,0,2,4,16,0,0,0,0,0,1,-6.06036720884731,0,0,0.181818181818182,,,0,7.2,9.2
