player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0003292,,Kerry Collins,QB,QB,,TEN,2010,17,REG,IND,28,39,300,2,0,1,10,0,0,261,145,14,15.5602780867825,0,1.14942528735632,0.194925939973482,2,2,0,1,1,1,-3.84489480120828,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,18.2,18.2
00-0003315,,Todd Collins,QB,QB,,CHI,2010,4,REG,NYG,4,11,36,0,1,0,0,0,0,82,17,1,-5.35924824374834,0,0.439024390243902,-0.0671128818452073,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.56,-0.56
00-0003315,,Todd Collins,QB,QB,,CHI,2010,5,REG,CAR,6,16,32,0,4,2,15,0,0,104,26,1,-20.0884962109771,0,0.307692307692308,-0.0310466627538418,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-6.72,-6.72
00-0003315,,Todd Collins,QB,QB,,CHI,2010,20,POST,GB,0,4,0,0,0,0,0,0,0,45,0,0,-4.11537742242217,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
00-0004161,,Jake Delhomme,QB,QB,,CLE,2010,1,REG,TB,20,37,227,1,2,0,0,0,0,363,108,8,-8.72900865306651,0,0.62534435261708,0.00769428160885714,1,1,0,0,0,0,-1.17404290661216,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,9.18,9.18
00-0004161,,Jake Delhomme,QB,QB,,CLE,2010,5,REG,ATL,13,23,97,0,2,1,10,0,0,153,35,6,-12.6080261648167,0,0.633986928104575,0.00559218861785334,1,0,0,1,0,0,-2.03665024784425,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.12,-0.12
00-0004161,,Jake Delhomme,QB,QB,,CLE,2010,12,REG,CAR,24,35,245,0,2,2,18,1,0,193,133,12,-7.7198423644877,0,1.26943005181347,0.0821455357303697,2,2,0,0,0,1,-0.817939663480722,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6,6
00-0004161,,Jake Delhomme,QB,QB,,CLE,2010,13,REG,MIA,24,34,217,1,0,2,17,0,0,240,84,8,-1.72041155832742,0,0.904166666666667,0.102730315115242,4,-5,0,0,0,0,-2.94374957497056,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,12.18,12.18
00-0004161,,Jake Delhomme,QB,QB,,CLE,2010,14,REG,BUF,12,20,86,0,1,1,4,1,1,170,14,2,-11.9962249988217,0,0.505882352941176,0.0199452111286579,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.56,-0.56
00-0004541,,Donald Driver,WR,WR,,GB,2010,1,REG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,7,30,1,0,0,54,2,4,1.20414856862044,0,0.555555555555556,0.233333333333333,0.168224299065421,0.467757009345794,0,9,14
00-0004541,,Donald Driver,WR,WR,,GB,2010,2,REG,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,5,38,1,0,0,41,12,3,3.40370175032876,0,0.926829268292683,0.172413793103448,0.146428571428571,0.361120689655172,0,9.8,13.8
00-0004541,,Donald Driver,WR,WR,,GB,2010,3,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,9,11,61,0,0,0,72,22,4,2.92686365568079,0,0.847222222222222,0.261904761904762,0.191489361702128,0.526899696048632,0,6.1,15.1
00-0004541,,Donald Driver,WR,WR,,GB,2010,4,REG,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,89,1,0,0,85,4,3,7.81867403024808,0,1.04705882352941,0.176470588235294,0.302491103202847,0.476449654594934,0,14.9,17.9
00-0004541,,Donald Driver,WR,WR,,GB,2010,5,REG,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,8,58,0,0,0,67,20,2,0.0630813886388968,0,0.865671641791045,0.177777777777778,0.203030303030303,0.408787878787879,0,5.8,9.8
00-0004541,,Donald Driver,WR,WR,,GB,2010,6,REG,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,5,31,0,0,0,54,19,2,1.08299700263888,0,0.574074074074074,0.172413793103448,0.174193548387097,0.38055617352614,0,3.1,6.1
00-0004541,,Donald Driver,WR,WR,,GB,2010,7,REG,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,9,0,0,-0.728620415087789,0,0,0.0285714285714286,0.0237467018469657,0.0594798341500188,0,0,0
00-0004541,,Donald Driver,WR,WR,,GB,2010,8,REG,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,3,0,0,0,0,18,0,0,-3.30449095461518,0,0,0.0882352941176471,0.050561797752809,0.167746199603437,0,0,0
