player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000003,,Abdul-Karim al-Jabbar,RB,RB,,IND,2000,1,REG,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,-2,0,0,0,0,-0.549943910969887,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.2,-0.2
00-0000007,,Rabih Abdullah,RB,RB,,TB,2000,1,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,3,0,0,0,0,0,0,-0.312119640933815,0,0,0.0454545454545455,,,0,0.3,1.3
00-0000007,,Rabih Abdullah,RB,RB,,TB,2000,12,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,18,0,0,0,1,1.46447396767326,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.8,1.8
00-0000007,,Rabih Abdullah,RB,RB,,TB,2000,14,REG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,10,38,0,0,0,3,-3.15288108919049,0,1,1,11,0,0,0,0,0,1,0.609493137104437,0,0,0.0714285714285714,,,0,4.9,5.9
00-0000007,,Rabih Abdullah,RB,RB,,TB,2000,15,REG,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,14,0,0,0,1,-1.14009873121056,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.4,1.4
00-0000017,,Donnie Abraham,CB,DB,,TB,2000,6,REG,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
00-0000098,,Louie Aguiar,P,SPEC,,CHI,2000,10,REG,IND,1,1,13,0,0,0,0,0,0,0,0,1,2.74000324599911,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.52,0.52
00-0000104,,Troy Aikman,QB,QB,,DAL,2000,1,REG,PHI,0,5,0,0,1,4,30,0,0,0,0,0,-16.387786497362,0,,0.0910437818571441,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-2,-2
00-0000104,,Troy Aikman,QB,QB,,DAL,2000,4,REG,SF,15,26,197,1,1,1,7,1,1,0,0,7,-5.81046649716418,0,0,0.0276102076828716,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.88,7.88
00-0000104,,Troy Aikman,QB,QB,,DAL,2000,5,REG,CAR,15,23,131,0,2,2,13,0,0,0,0,6,-3.65344406948683,1,0,0.0316391272878822,2,2,0,0,0,1,0.669312515150523,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.44,3.44
