team_code,team_name,player_id,name,position,games,games_started,overall,status,confidence,needs_review,pass_yds,pass_td,pass_int,rush_yds,rush_td,receptions,rec_yds,rec_td
ARI,Arizona Cardinals,00-0020022,Marcel Shipp,RB,14,14,83,generated_high_confidence,0.78,,,,,834,6,38,413,3
ARI,Arizona Cardinals,00-0008749,Freddie Jones,TE,15,15,82,generated_high_confidence,0.78,,,,,,,44,358,1
ARI,Arizona Cardinals,00-0002257,Tom Burke,EDGE,14,,82,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0013623,Coby Rhinehart,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0015577,Duane Starks,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0005217,John Fina,LT,14,,81,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0016041,Barron Tanner,DT,14,,80,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0013042,Jake Plummer,QB,16,16,80,generated_high_confidence,0.78,,2972,18,20,283,2,1,2,
ARI,Arizona Cardinals,00-0006516,Mike Gruttadauria,C,14,,79,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0009137,Pete Kendall,LG,14,,79,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0019469,David Barrett,CB,14,,77,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020024,Fred Wakefield,EDGE,14,,77,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020017,Nijrell Eason,S,14,,77,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0002380,Steve Bush,TE,12,12,77,generated_high_confidence,0.78,,,,,,,19,121,1
ARI,Arizona Cardinals,00-0004046,Russell Davis,DT,14,,76,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021008,Trev Faulk,LB,14,,76,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0004336,Chris Dishman,LG,14,,75,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0014086,Raleigh Roundtree,LG,14,,75,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0014328,Frank Sanders,WR,11,11,73,generated_high_confidence,0.78,,,,,2,,34,400,2
ARI,Arizona Cardinals,00-0021055,Quentin Harris,S,14,,73,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0001532,David Boston,WR,8,8,72,generated_high_confidence,0.78,,,,,29,,32,512,1
ARI,Arizona Cardinals,00-0019641,Thomas Jones,RB,9,9,72,generated_high_confidence,0.78,,,,,511,2,20,113,
ARI,Arizona Cardinals,00-0003105,Anthony Clement,LT,14,,71,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020296,Bill Gramatica,K,14,,71,generated_low_confidence,0.33,,,,,,,,,
ARI,Arizona Cardinals,00-0021086,Dennis Johnson,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021094,Jason McAddley,WR,9,9,71,generated_high_confidence,0.78,,,,,,,25,362,1
ARI,Arizona Cardinals,00-0020191,Kendrick Rogers,LT,14,,71,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020382,Kyle Vanden Bosch,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0014776,L.J. Shelton,LT,14,,71,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021052,Tim Duncan,K,14,,71,generated_low_confidence,0.33,,,,,,,,,
ARI,Arizona Cardinals,00-0020297,Marcus Bell,DT,14,,70,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020307,Mario Fatafehi,DT,14,,70,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020301,Renaldo Hill,CB,14,,70,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0010292,Joel Makovicka,RB,9,9,69,generated_high_confidence,0.78,,,,,54,,15,81,3
ARI,Arizona Cardinals,00-0019834,Nathan Hodel,C,14,,69,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0013028,Scott Player,P,1,,69,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021062,Preston Parsons,QB,14,,68,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021103,Mike Banks,TE,14,,67,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020533,Leonard Davis,LT,14,,66,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021088,Nate Dwyer,DT,14,,65,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0008357,MarTay Jenkins,WR,7,,63,generated_medium_confidence,0.6,,,,,6,,21,250,1
ARI,Arizona Cardinals,00-0019609,Travis Prentice,RB,14,,63,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0019518,Jason Starkey,C,1,,61,generated_low_confidence,0.45,,,,,,,1,7,
ARI,Arizona Cardinals,00-0021054,Steven Grace,C,14,,61,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020943,Teag Whiting,LG,14,,61,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021064,Tony Wragge,LG,14,,61,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0021384,Wendell Bryant,DT,14,,61,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0019302,Bryan Gilmore,WR,3,,60,generated_medium_confidence,0.6,,,,,,,1,14,
ARI,Arizona Cardinals,00-0021206,Josh McCown,QB,2,,60,generated_medium_confidence,0.6,,66,,2,20,,,,
ARI,Arizona Cardinals,00-0010951,Dennis McKinley,RB,1,,59,generated_low_confidence,0.45,,,,,,,,,
ARI,Arizona Cardinals,00-0020018,Arnold Jackson,WR,4,,56,generated_medium_confidence,0.6,,,,,,,5,42,1
ARI,Arizona Cardinals,00-0020021,Nate Poole,WR,4,,56,generated_medium_confidence,0.6,,,,,,,13,108,1
ARI,Arizona Cardinals,00-0021048,Damien Anderson,RB,4,,52,generated_medium_confidence,0.6,,,,,65,,3,36,
ARI,Arizona Cardinals,00-0021063,Jake Soliday,WR,3,,51,generated_medium_confidence,0.6,,,,,,,4,39,
ATL,Atlanta Falcons,00-0020285,Alge Crumpler,TE,16,16,86,generated_high_confidence,0.78,,,,,,,36,455,5
ATL,Atlanta Falcons,00-0004640,Warrick Dunn,RB,15,15,86,generated_high_confidence,0.78,,,,,927,7,50,377,2
ATL,Atlanta Falcons,00-0005231,Brian Finneran,WR,16,16,85,generated_high_confidence,0.78,,,,,,,56,838,6
ATL,Atlanta Falcons,00-0020245,Michael Vick,QB,15,15,84,generated_high_confidence,0.78,,2936,16,8,777,8,,,
ATL,Atlanta Falcons,00-0006684,Travis Hall,EDGE,14,,82,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0000261,Ashley Ambrose,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0017592,Bob Whitfield,LT,14,,81,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0002166,Ray Buchanan,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0008494,Ellis Johnson,DT,14,,80,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0010711,Todd McClure,C,14,,79,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0009119,Reggie Kelly,TE,13,13,78,generated_high_confidence,0.78,,,,,,,14,162,
ATL,Atlanta Falcons,00-0021376,T.J. Duckett,RB,12,12,78,generated_high_confidence,0.78,,,,,507,4,9,61,
ATL,Atlanta Falcons,00-0015106,Brady Smith,EDGE,14,,77,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0001427,Juran Bolden,CB,14,,77,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0018960,Michael Thompson,LT,14,,77,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0008313,Shawn Jefferson,WR,13,13,77,generated_high_confidence,0.78,,,,,,,27,394,1
ATL,Atlanta Falcons,00-0002970,Bob Christian,RB,15,15,76,generated_high_confidence,0.78,,,,,119,3,13,174,
ATL,Atlanta Falcons,00-0008284,Edward Jasper,DT,14,,76,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0017399,Todd Weiner,LT,1,,76,generated_low_confidence,0.45,,,,,,,1,,
ATL,Atlanta Falcons,00-0018955,Travis Claridge,LG,14,,75,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0019770,Jay Feely,K,14,,74,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0019670,Trevor Gaylor,WR,11,11,73,generated_high_confidence,0.78,,,,,,,25,385,3
ATL,Atlanta Falcons,00-0021106,Kevin Shaffer,LT,14,,71,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0009173,Patrick Kerney,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0020263,Ronald Flemons,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0017341,Fred Weary,CB,14,,70,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0010535,Kevin Mathis,CB,14,,70,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0021069,Ryan Watson,DT,14,,70,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0011463,Chris Mohr,P,1,,69,generated_low_confidence,0.45,,,,1,,,,,
ATL,Atlanta Falcons,00-0020262,Kynan Forney,LG,14,,69,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0021089,Martin Bibla,LG,14,,69,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0020260,Roberto Garza,C,14,,69,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0021271,Kurt Kittner,QB,14,,68,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0002942,Darrin Chiaverini,WR,1,,67,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0019905,Jimmy Farris,WR,14,,66,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0020334,Karon Riley,EDGE,14,,66,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0019146,Derek Rackley,TE,14,,63,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0019087,Doug Johnson,QB,6,,63,generated_medium_confidence,0.6,,448,2,3,16,1,,,
ATL,Atlanta Falcons,00-0014071,Allen Rossum,CB,1,,62,generated_low_confidence,0.45,,,,,,,,,
ATL,Atlanta Falcons,00-0020340,Quentin McCord,WR,5,,62,generated_medium_confidence,0.6,,,,,,,11,253,1
ATL,Atlanta Falcons,00-0009443,Brian Kozlowski,TE,6,,58,generated_medium_confidence,0.6,,,,,,,6,59,
ATL,Atlanta Falcons,00-0020479,George Layne,RB,2,,51,generated_medium_confidence,0.6,,,,,5,,2,11,
ATL,Atlanta Falcons,00-0008391,Travis Jervey,RB,2,,50,generated_medium_confidence,0.6,,,,,17,,,,
BAL,Baltimore Ravens,00-0012322,Jonathan Ogden,LT,14,,96,manual_override,0.95,,,,,,,,,
BAL,Baltimore Ravens,00-0020516,Todd Heap,TE,16,16,92,generated_high_confidence,0.78,,,,,38,,68,836,6
BAL,Baltimore Ravens,00-0019693,Jamal Lewis,RB,16,16,88,generated_high_confidence,0.78,,,,,1327,6,47,442,1
BAL,Baltimore Ravens,00-0019721,Travis Taylor,WR,16,16,86,generated_high_confidence,0.78,,,,,105,,61,869,6
BAL,Baltimore Ravens,00-0010749,Michael McCrary,EDGE,14,,82,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0001835,Ethan Brooks,LT,14,,81,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0016591,James Trapp,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0009360,Tommy Knight,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0006398,Kelly Gregg,DT,14,,80,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0005366,Mike Flynn,C,14,,79,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0011803,Edwin Mulitalo,LT,14,,77,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020421,Raymond Perryman,S,14,,77,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0012578,Riddick Parker,EDGE,14,,77,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0016061,Robert Tate,CB,14,,77,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020867,Ma'ake Kemoeatu,DT,14,,76,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0019434,Bennie Anderson,LG,14,,75,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021314,Chester Taylor,RB,15,15,75,generated_high_confidence,0.78,,,,,122,,14,129,2
BAL,Baltimore Ravens,00-0018588,Alan Ricard,RB,12,12,74,generated_high_confidence,0.78,,,,,58,2,10,60,
BAL,Baltimore Ravens,00-0015784,Matt Stover,K,14,,74,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021242,Ron Johnson,WR,12,12,74,generated_high_confidence,0.78,,,,,,,10,114,1
BAL,Baltimore Ravens,00-0001335,Jeff Blake,QB,10,10,73,generated_high_confidence,0.78,,2084,13,11,106,1,,,
BAL,Baltimore Ravens,00-0021268,Terry Jones,TE,10,10,72,generated_high_confidence,0.78,,,,,,,11,106,1
BAL,Baltimore Ravens,00-0015754,Brandon Stokley,WR,8,8,71,generated_high_confidence,0.78,,,,,31,,24,357,2
BAL,Baltimore Ravens,00-0019575,David Nugent,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0004472,Marques Douglas,EDGE,14,,71,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020152,Alvin Porter,CB,14,,70,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021235,Dave Zastudil,P,2,,70,generated_low_confidence,0.45,,,,,-12,,,,
BAL,Baltimore Ravens,00-0020450,Casey Rabach,LG,14,,69,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020143,Damion Cook,LG,14,,69,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0019684,Jason Thomas,LG,14,,69,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020325,Joe Maese,C,14,,69,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0018272,Anthony Wright,QB,14,,68,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0010634,Chris McAlister,CB,1,,67,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0019593,Adalius Thomas,EDGE,14,,66,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0012321,Jeff Ogden,WR,14,,66,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020876,Lawrence Smith,LT,14,,66,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020472,Gary Baxter,CB,14,,65,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020788,Mike Collins,LG,14,,65,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020865,Dameon Hunter,RB,14,,63,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0005822,Sam Gash,RB,14,,63,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0019709,Chris Redman,QB,6,,62,generated_medium_confidence,0.6,,1034,7,3,8,,,,
BAL,Baltimore Ravens,00-0021303,Lamont Brightful,CB,1,,62,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0020387,Milton Wynn,WR,1,,62,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021180,Anthony Weaver,EDGE,14,,61,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021099,Howard Green,EDGE,14,,61,generated_low_confidence,0.45,,,,,,,,,
BAL,Baltimore Ravens,00-0021313,Javin Hunter,WR,7,,61,generated_medium_confidence,0.6,,,,,9,,5,35,
BAL,Baltimore Ravens,00-0020984,Randy Hymes,WR,4,,60,generated_medium_confidence,0.6,,,,,,,6,123,
BAL,Baltimore Ravens,00-0019404,John Jones,TE,6,,58,generated_medium_confidence,0.6,,,,,,,6,47,1
BUF,Buffalo Bills,00-0011770,Eric Moulds,WR,16,16,95,generated_high_confidence,0.78,,,,,7,,100,1292,10
BUF,Buffalo Bills,00-0013232,Peerless Price,WR,16,16,94,generated_high_confidence,0.78,,,,,-13,,94,1252,9
BUF,Buffalo Bills,00-0020471,Travis Henry,RB,16,16,92,generated_high_confidence,0.78,,,,,1438,13,43,309,1
BUF,Buffalo Bills,00-0001361,Drew Bledsoe,QB,16,16,91,generated_high_confidence,0.78,,4359,24,15,67,2,,,
BUF,Buffalo Bills,00-0013728,Jay Riemersma,TE,16,16,84,generated_high_confidence,0.78,,,,,,,32,350,
BUF,Buffalo Bills,00-0000100,Chidi Ahanotu,EDGE,14,,82,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0017299,Chris Watson,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0001526,Jason Bostic,CB,14,,81,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0013229,Marcus Price,LT,14,,81,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0021166,Josh Reed,WR,16,16,80,generated_high_confidence,0.78,,,,,,,37,509,2
BUF,Buffalo Bills,00-0017899,Pat Williams,DT,14,,80,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0003356,Billy Conaty,C,14,,79,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0021027,Ahmad Brooks,S,14,,78,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0002846,Larry Centers,RB,16,16,78,generated_high_confidence,0.78,,,,,56,2,43,388,
BUF,Buffalo Bills,00-0018093,Antoine Winfield,CB,14,,77,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0019820,Kendrick Office,EDGE,14,,77,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0021359,Dominique Stevenson,LB,14,,76,generated_low_confidence,0.45,,,,,,,,,
BUF,Buffalo Bills,00-0020286,Ron Edwards,DT,14,,76,generated_low_confidence,0.45,,,,,,,,,
